FC,HYB,YEAR,FS,CC,Density,Rotation,CD,CEC,pH,OM,EstNRel,Su,P,Ca,Mg,K,Na,SOC,TN,SoilCN,InorgN,Bray1P,POMC,POMN,POMCN,PMN,POXC,Sand,Silt,Clay,Prcp,Tmax,Tmin,Temp,TGDD,YIELD,Re
AA,ORG1,2018,Mix,Mixed,Low,Extensive,High,14.8,5.9,3.49,85,14,66,1729,242,217,20,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,603.83,80.77701935,60.01496,70.39598968,3057.255,135,NO
AA,ORG4,2018,Mix,Mixed,Low,Extensive,High,14.8,5.9,3.49,85,14,66,1729,242,217,20,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,603.83,80.77701935,60.01496,70.39598968,3057.255,142.7,NO
AA,ORG2,2018,Mix,Mixed,Low,Extensive,High,14.93,6.5,3.86,89,12,34,2065,280,125,23,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,603.83,80.77701935,60.01496,70.39598968,3057.255,96.5,NO
AA,CHECK1,2018,Mix,Mixed,Low,Extensive,High,14.93,6.5,3.86,89,12,34,2065,280,125,23,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,603.83,80.77701935,60.01496,70.39598968,3057.255,141.2,NO
AA,KEV1,2018,Mix,Mixed,Low,Extensive,High,11.9,6.3,3.11,81,13,40,1519,226,188,20,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,603.83,80.77701935,60.01496,70.39598968,3057.255,167.2,YES
AA,KEV2,2018,Mix,Mixed,Low,Extensive,High,11.9,6.3,3.11,81,13,40,1519,226,188,20,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,603.83,80.77701935,60.01496,70.39598968,3057.255,123.7,NO
AA,ORG5,2018,Mix,Mixed,Low,Extensive,High,13.84,6.1,3.56,86,13,58,1715,254,189,18,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,603.83,80.77701935,60.01496,70.39598968,3057.255,127.9,NO
AA,KEV3,2018,Mix,Mixed,Low,Extensive,High,13.84,6.1,3.56,86,13,58,1715,254,189,18,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,603.83,80.77701935,60.01496,70.39598968,3057.255,130.8,NO
AA,ORG1,2018,Mix,Mixed,Low,Extensive,High,14.18,5.9,3.37,84,15,62,1621,256,199,20,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,603.83,80.77701935,60.01496,70.39598968,3057.255,136.5,NO
AA,ORG4,2018,Mix,Mixed,Low,Extensive,High,14.18,5.9,3.37,84,15,62,1621,256,199,20,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,603.83,80.77701935,60.01496,70.39598968,3057.255,142.5,NO
AA,ORG2,2018,Mix,Mixed,Low,Extensive,High,12.15,6.6,3.18,82,12,46,1654,246,169,20,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,603.83,80.77701935,60.01496,70.39598968,3057.255,98.3,NO
AA,CHECK1,2018,Mix,Mixed,Low,Extensive,High,12.15,6.6,3.18,82,12,46,1654,246,169,20,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,603.83,80.77701935,60.01496,70.39598968,3057.255,142.6,YES
AA,KEV1,2018,Mix,Mixed,Low,Extensive,High,14.41,6.4,3.73,87,12,39,1885,292,177,19,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,603.83,80.77701935,60.01496,70.39598968,3057.255,167,YES
AA,KEV2,2018,Mix,Mixed,Low,Extensive,High,14.41,6.4,3.73,87,12,39,1885,292,177,19,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,603.83,80.77701935,60.01496,70.39598968,3057.255,121.6,NO
AA,ORG5,2018,Mix,Mixed,Low,Extensive,High,14.28,6.2,3.18,82,12,43,1793,268,212,18,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,603.83,80.77701935,60.01496,70.39598968,3057.255,127.1,NO
AA,KEV3,2018,Mix,Mixed,Low,Extensive,High,14.28,6.2,3.18,82,12,43,1793,268,212,18,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,603.83,80.77701935,60.01496,70.39598968,3057.255,130.3,NO
SB,ORG1,2018,Mix,Mixed,Low,Intensive,High,13.32,6.8,2.86,77,17,151,1894,224,344,21,17.538,1.533,11.4433,35.6,154,4.30625,0.299702381,14.1253,18.808,499.9104,13,58,29,565.5,84.12002194,63.53934452,73.82968323,3532.707,142.1,NO
SB,ORG4,2018,Mix,Mixed,Low,Intensive,High,13.32,6.8,2.86,77,17,151,1894,224,344,21,17.538,1.533,11.4433,35.6,154,4.30625,0.299702381,14.1253,18.808,499.9104,13,58,29,565.5,84.12002194,63.53934452,73.82968323,3532.707,186,NO
SB,ORG2,2018,Mix,Mixed,Low,Intensive,High,16.39,6.5,2.59,72,17,127,2168,315,313,20,17.538,1.533,11.4433,35.6,154,4.30625,0.299702381,14.1253,18.808,499.9104,13,58,29,565.5,84.12002194,63.53934452,73.82968323,3532.707,185.8,NO
SB,CHECK1,2018,Mix,Mixed,Low,Intensive,High,16.39,6.5,2.59,72,17,127,2168,315,313,20,17.538,1.533,11.4433,35.6,154,4.30625,0.299702381,14.1253,18.808,499.9104,13,58,29,565.5,84.12002194,63.53934452,73.82968323,3532.707,184.7,NO
SB,KEV1,2018,Mix,Mixed,Low,Intensive,High,15.14,6.7,3.02,80,19,170,2136,244,362,24,17.538,1.533,11.4433,35.6,154,4.30625,0.299702381,14.1253,18.808,499.9104,13,58,29,565.5,84.12002194,63.53934452,73.82968323,3532.707,185.8,NO
