site,year,month,prcp,srad,tmax,tmin,temp,GDD
Adsit,2018,May,162.82,372.1406452,74.55548387,50.55451613,62.555,383.319
Adsit,2018,Jun,183.08,352.0803333,76.9142,57.7094,67.3118,508.788
Adsit,2018,Jul,59.46,398.1348387,82.1596129,59.63058065,70.89509677,640.179
Adsit,2018,Aug,131.14,340.1367742,81.32696774,60.68909677,71.00803226,644.85
Adsit,2018,Sep,222.38,315.131,74.0636,53.2658,63.6647,407.331
Adsit,2019,May,165.29,367.3490323,64.81109677,44.12677419,54.46893548,138.969
Adsit,2019,Jun,134.3,383.188,75.6782,54.098,64.8881,445.545
Adsit,2019,Jul,97.92,378.8306452,84.16574194,62.9896129,73.57767742,714.402
Adsit,2019,Aug,97.72,366.8683871,78.58864516,56.97587097,67.78225806,550.872
Adsit,2019,Sep,201.67,295.494,74.5484,56.3372,65.4428,463.284
Ambriole,2018,May,92.72,382.3870968,79.15941935,54.29619355,66.72780645,505.746
Ambriole,2018,Jun,143.68,351.352,81.2672,62.2964,71.7818,638.622
Ambriole,2018,Jul,115.54,385.4616129,82.95451613,62.44554839,72.70003226,688.14
Ambriole,2018,Aug,206.17,354.5187097,82.38316129,62.97625806,72.67970968,696.591
Ambriole,2018,Sep,45.72,331.3113333,78.1208,58.0604,68.0906,528.156
Ambriole,2019,May,120.33,388.0470968,69.10845161,48.93219355,59.02032258,279.63
Ambriole,2019,Jun,119.26,380.894,77.4128,58.2608,67.8368,533.016
Ambriole,2019,Jul,143.41,377.4280645,84.73593548,64.73212903,74.73403226,747.189
Ambriole,2019,Aug,134.17,375.3303226,80.10703226,59.55683871,69.83193548,614.394
Ambriole,2019,Sep,99.38,331.1446667,77.8322,57.6134,67.7228,530.586
Ambriole,2020,May,111.33,378.1887097,69.14793548,47.89690323,58.52241935,261.531
Ambriole,2020,Jun,55.12,413.1753333,83.3408,59.2148,71.2778,626.193
Ambriole,2020,Jul,114.32,362.3248387,86.9603871,65.30987097,76.13512903,778.761
Ambriole,2020,Aug,62.16,403.3167742,83.49858065,59.50864516,71.5036129,653.067
Ambriole,2020,Sep,76.34,339.4606667,75.3842,51.6434,63.5138,405.414
Ambriole,2021,May,113.34,399.5109677,69.70187097,46.87845161,58.29016129,257.031
