year,site,Prcp,Tmax,Tmin,Temp,TGDD,prcp_May,prcp_Jun,prcp_Jul,prcp_Aug,prcp_Sep,tmax_May,tmax_Jun,tmax_Jul,tmax_Aug,tmax_Sep,tmin_May,tmin_Jun,tmin_Jul,tmin_Aug,tmin_Sep,temp_May,temp_Jun,temp_Jul,temp_Aug,temp_Sep,GDD_May,GDD_Jun,GDD_Jul,GDD_Aug,GDD_Sep
2018,Adsit2018,758.88,77.8039729,56.36987871,67.08692581,2584.467,162.82,183.08,59.46,131.14,222.38,74.55548387,76.9142,82.1596129,81.32696774,74.0636,50.55451613,57.7094,59.63058065,60.68909677,53.2658,62.555,67.3118,70.89509677,71.00803226,63.6647,383.319,508.788,640.179,644.85,407.331
2019,Adsit2019,696.9,75.55841677,54.90549161,65.23195419,2313.072,165.29,134.3,97.92,97.72,201.67,64.81109677,75.6782,84.16574194,78.58864516,74.5484,44.12677419,54.098,62.9896129,56.97587097,56.3372,54.46893548,64.8881,73.57767742,67.78225806,65.4428,138.969,445.545,714.402,550.872,463.284
2018,Ambriole2018,603.83,80.77701935,60.01496,70.39598968,3057.255,92.72,143.68,115.54,206.17,45.72,79.15941935,81.2672,82.95451613,82.38316129,78.1208,54.29619355,62.2964,62.44554839,62.97625806,58.0604,66.72780645,71.7818,72.70003226,72.67970968,68.0906,505.746,638.622,688.14,696.591,528.156
2019,Ambriole2019,616.55,77.83928387,57.81907226,67.82917806,2704.815,120.33,119.26,143.41,134.17,99.38,69.10845161,77.4128,84.73593548,80.10703226,77.8322,48.93219355,58.2608,64.73212903,59.55683871,57.6134,59.02032258,67.8368,74.73403226,69.83193548,67.7228,279.63,533.016,747.189,614.394,530.586
2020,Ambriole2020,419.27,79.66638065,56.71472387,68.19055226,2724.966,111.33,55.12,114.32,62.16,76.34,69.14793548,83.3408,86.9603871,83.49858065,75.3842,47.89690323,59.2148,65.30987097,59.50864516,51.6434,58.52241935,71.2778,76.13512903,71.5036129,63.5138,261.531,626.193,778.761,653.067,405.414
2021,Ambriole2021,606.75,79.4466529,58.16926323,68.80795806,2847.411,113.34,128.78,126.44,136.43,101.76,69.70187097,82.4468,81.99645161,84.29174194,78.7964,46.87845161,62.0336,63.27703226,63.29503226,55.3622,58.29016129,72.2402,72.63674194,73.7933871,67.0793,257.031,659.718,696.33,724.455,509.877
2019,Anibas2019,701.14,75.44436645,54.86754065,65.15595355,2310.705,174.37,120.63,146.23,81.96,177.95,64.56664516,77.234,82.84477419,78.4156129,74.1608,43.28658065,55.2992,63.02619355,57.64012903,55.0856,53.9266129,66.2666,72.93548387,68.02787097,64.6232,123.777,486.18,703.836,558.216,438.696
2020,Anibas2020,476.98,76.98518581,55.1977071,66.09144645,2428.002,151.85,140.29,82.77,65.09,36.98,67.54419355,81.8072,84.67903226,81.57490323,69.3206,46.37967742,58.0172,63.00645161,59.67180645,48.9134,56.96193548,69.9122,73.84274194,70.62335484,59.117,216.594,587.817,717.057,632.466,274.068
2018,Beiler2018,898.16,78.03390839,58.06839742,68.0511529,2734.776,200.84,145.1,88.46,223.1,240.66,75.98154839,78.4928,81.86929032,80.31490323,73.511,53.72193548,60.6968,61.0636129,61.37483871,53.4848,64.85174194,69.5948,71.46645161,70.84487097,63.4979,450.261,577.584,658.017,645.705,403.209
2019,Beiler2019,887.56,75.66534839,56.13568129,65.90051484,2420.946,148.01,145.02,145.68,97.04,351.81,65.9003871,76.7366,83.79877419,77.63058065,74.2604,45.56270968,56.714,64.37329032,57.76380645,56.2646,55.73154839,66.7253,74.08603226,67.69719355,65.2625,177.678,500.031,736.749,548.613,457.875
2020,Beiler2020,649.48,76.23510839,55.53627742,65.8856929,2405.547,128.88,173.65,137.77,67.8,141.38,65.76916129,80.7302,84.11406452,81.37051613,69.1916,46.25251613,58.3772,64.54051613,59.06735484,49.4438,56.01083871,69.5537,74.32729032,70.21893548,59.3177,187.506,583.137,738.837,616.536,279.531
2019,Bryan2019,544.02,79.50092,59.34192258,69.42142129,2919.042,203.42,91.17,124.53,82.6,42.3,70.74587097,79.3598,86.39077419,80.95535484,80.0528,51.38832258,59.492,66.52109677,60.86619355,58.442,61.06709677,69.4259,76.45593548,70.91077419,69.2474,343.08,571.185,788.121,646.29,570.366
2020,Bryan2020,416.66,79.68462839,57.50668903,68.59565871,2777.454,124.11,72.55,84.5,49.72,85.78,69.21296774,83.2538,87.29135484,82.95741935,75.7076,48.73767742,60.4316,65.78309677,60.30587097,52.2752,58.97532258,71.8427,76.53722581,71.63164516,63.9914,276.147,640.926,784.548,656.559,419.274
2018,Buxton2018,565.5,84.12002194,63.53934452,73.82968323,3532.707,68.6,159.74,158.38,89.73,89.05,83.71458065,85.8764,84.19883871,84.40729032,82.403,60.9196129,65.5856,65.1316129,65.63909677,60.4208,72.31709677,75.731,74.66522581,75.02319355,71.4119,674.829,744.489,744.012,758.619,610.758
2020,Clark2020,585,76.55838839,54.83398323,65.69618581,2372.472,149.28,154.18,124.94,37.28,119.32,66.06006452,81.1808,84.47174194,81.80193548,69.2774,45.45587097,57.2414,63.99296774,58.29567742,49.184,55.75796774,69.2111,74.23235484,70.04880645,59.2307,181.431,571.725,732.384,610.011,276.921
2018,Dahnert2018,874.27,78.46762323,58.06659355,68.26710839,2756.367,180.87,171.29,76.53,208.05,237.53,75.44851613,78.0842,82.63922581,81.60277419,74.5634,52.67967742,59.7188,61.42767742,62.0716129,54.4352,64.06409677,68.9015,72.03345161,71.83719355,64.4993,425.493,554.454,673.497,671.382,431.541
2019,Doonan2019,755.65,79.27352,59.55134968,69.41243484,2919.636,255.52,142.74,47.94,79.71,229.74,68.71477419,80.0336,87.19322581,81.392,79.034,49.19348387,60.521,67.23122581,60.85283871,59.9582,58.95412903,70.2773,77.21222581,71.12241935,69.4961,276.696,599.913,809.811,651.105,582.111
2020,Doonan2020,624.53,78.94659355,58.29277419,68.61968387,2797.488,132.23,160.43,133.64,22.71,175.52,68.43606452,83.2544,85.54941935,83.71748387,73.7756,49.43270968,62.2484,66.30741935,61.01774194,52.4576,58.9343871,72.7514,75.92841935,72.3676129,63.1166,277.632,673.128,779.283,674.829,392.616
2021,Doonan2021,487.4,80.52729548,59.51433161,70.02081355,3000.645,142.27,113.04,110.36,97.03,24.7,69.14212903,84.4268,82.47954839,85.064,81.524,50.31877419,63.1274,64.60090323,63.53658065,55.988,59.73045161,73.7771,73.54022581,74.30029032,68.756,301.95,692.496,717.588,731.718,556.893
2019,Doudlah2019,666.24,75.95635226,55.90893161,65.93264194,2418.165,158.52,106.58,109.01,120.57,171.56,65.35574194,76.6688,84.63025806,78.56716129,74.5598,44.86593548,55.8902,64.31696774,58.02335484,56.4482,55.11083871,66.2795,74.4736129,68.29525806,65.504,158.436,485.955,741.933,566.721,465.12
2020,Egre2020,481.76,76.97600774,55.33684516,66.15642645,2436.57,118.16,99.85,103.51,55.79,104.45,66.30277419,81.7196,84.79690323,82.29316129,69.7676,45.66374194,57.815,64.3216129,58.84787097,50.036,55.98325806,69.7673,74.55925806,70.57051613,59.9018,188.379,585.252,740.556,625.329,297.054
2018,Erisman2018,625.2,84.57808516,63.5582929,74.06818903,3556.17,82.32,208.46,148.55,113.26,72.61,83.93696774,86.4944,84.76264516,84.8596129,82.8368,60.87316129,65.5616,65.3423871,65.65651613,60.3578,72.40506452,76.028,75.05251613,75.25806452,71.5973,677.412,748.206,751.806,761.895,616.851
2020,Esch2020,677.7,75.86999871,55.50413677,65.68706774,2379.231,125.01,185.51,131.58,60.24,175.36,65.47825806,80.3744,83.69135484,81.08658065,68.7194,46.09806452,58.2686,64.50451613,59.18290323,49.4666,55.78816129,69.3215,74.09793548,70.13474194,59.093,180.027,577.305,734.13,614.781,272.988
2018,Glazik2018,550.38,83.4440929,61.14868129,72.2963871,3315.411,76.78,168.62,107.16,99.77,98.05,83.05264516,84.1874,83.72619355,84.56522581,81.689,58.02683871,63.6278,63.28516129,63.19980645,57.6038,70.53974194,73.9076,73.50567742,73.88251613,69.6464,619.965,696.141,713.637,725.616,560.052
2020,Goldstein2020,505.14,76.29278581,54.50407613,65.39843097,2332.53,115.9,85.21,110.02,92.65,101.36,65.38651613,80.7338,84.17619355,81.48141935,69.686,44.68767742,56.3528,63.22012903,58.36477419,49.895,55.03709677,68.5433,73.69816129,69.92309677,59.7905,161.028,551.043,717.615,609.129,293.715
2018,Gray2018,382.51,82.8284929,60.91473935,71.87161613,3250.863,55.53,104.63,50.35,86.59,85.41,81.82748387,83.45,83.73490323,84.55767742,80.5724,56.81387097,63.2534,63.26890323,63.43032258,57.8072,69.32067742,73.3517,73.50190323,73.994,69.1898,579.177,680.121,713.61,725.427,552.528
2018,Gruver2018,573.24,82.86808129,61.41008,72.13908065,3286.251,73.32,112.5,70.56,155.91,160.95,82.24670968,84.3788,84.03393548,84.43516129,79.2458,58.14703226,64.2236,63.30954839,63.93141935,57.4388,70.19687097,74.3012,73.67174194,74.18329032,68.3423,610.596,700.083,716.139,727.857,531.576
2019,Gruver2019,760.41,79.77014581,60.22770452,69.99892516,3008.223,276.12,142.12,34.23,92.43,215.51,70.09380645,80.243,87.00103226,81.34729032,80.1656,51.06664516,60.7748,66.98445161,61.70522581,60.6074,60.58022581,70.5089,76.99274194,71.52625806,70.3865,327.159,606.753,805.437,664.047,604.827
2020,Gruver2020,495.71,78.95514839,58.69605548,68.82560194,2832.444,132.37,124.63,112.11,11.4,115.2,68.60154839,83.1272,85.21032258,83.34587097,74.4908,50.05748387,62.3294,66.5843871,61.29180645,53.2172,59.32951613,72.7283,75.89735484,72.31883871,63.854,289.665,672.642,781.992,673.389,414.756
2021,Gruver2021,573.42,79.92289806,59.76613419,69.84451613,2991.195,184.17,151.93,130.41,69.42,37.49,68.84135484,83.048,82.19096774,84.36896774,81.1652,50.48251613,62.9384,64.79135484,64.022,56.5964,59.66193548,72.9932,73.49116129,74.19548387,68.8808,300.096,676.989,719.19,732.96,561.96
2019,Longwell2019,476.78,80.3552,59.72224129,70.03872065,3012.426,138.76,132.83,122.63,67.61,14.95,72.27296774,78.9734,85.97851613,81.78451613,82.7666,52.56122581,60.0974,65.57348387,61.58909677,58.79,62.41709677,69.5354,75.776,71.68680645,70.7783,385.083,577.566,772.983,667.044,609.75
