EXP,Year,Farmer,Site,FC,STATE,HYB,CODE,LENGTH,MAD,TWT,CEC,pH,OM,EstNRel,Su,P,Ca,Mg,K,Na,NO3N,NH4N,Bray1P,TOC,TON,SoilCN,POMC,POMN,POMCN,PMN,POXC ,Texture,Sand%,Silt%,Clay%,MCA1,MCA2 ,PROTA1,PROTA2,OLA1,OLA2,STRA1,STRA2,DTA1,DTA2,TWA1,TWA2,FRA1,FRA2,GWT1,GWT2,GWT3,GWT4,GWT5,GWT6,300KWT1,300KWT2
OREI-STRIPS_2018,2018,Adsit,Adsit2018,GA,WISCONSIN,9.2)15 x NG10-2-3-2,ORG8,17,10,53,19.63,6.4,3.28,83,15,50,2105,679,213,35,18.2,10.3,41,16.435,1.423,11.5474,2.44,0.1464,13.8807,5.584,423.3204,CL,36,28,36,9.4,9.3,10.1,10.1,4.8,4.9,68.2,68.1,1.166,1.167,54.9,54.1,9.29,9.32,2310.9,1908.1,2456.7,1821.7,2257.9,2001.1,71.3,69.6
OREI-STRIPS_2018,2018,Adsit,Adsit2018,GA,WISCONSIN,17.461,ORG1,17,8.7,56.8,20.23,6.3,3.18,82,15,50,2124,688,221,35,17.3,12,40,16.606,1.401,11.8497,1.949152542,0.137587238,15.9417,7.688,411.4008,CL,36,28,36,9.3,9.4,10,9.7,4.7,4.8,68.6,68.6,1.156,1.142,55.9,55.6,9.35,9.28,1762.7,510.1,1609.4,2833.3,3179.9,3572.4,74,75.8
OREI-STRIPS_2018,2018,Adsit,Adsit2018,GA,WISCONSIN,461.2B24,ORG2,17,10,56.3,17.66,6.3,3.09,81,13,50,1875,591,186,29,13.3,9.8,39,16.085,1.4,11.4888,1.417964072,0.088622754,14.5128,17.104,421.6176,CL,33,33,34,9,9.3,11.5,11.4,4.6,4.7,67.6,67.5,1.18,1.175,57.1,56.8,9.34,9.29,1690.1,1166.7,1977.7,2274.7,2607.7,3016.3,79.8,75.3
OREI-STRIPS_2018,2018,Adsit,Adsit2018,GA,WISCONSIN,461.2B24_Inoc,ORG2_Inoc,17,9.4,54.7,18.73,6.6,3.23,82,13,47,2060,677,245,31,15.9,10,40,16.578,1.414,11.7244,2.0145,0.1185,14.8116,11.024,421.6176,C,36,21,43,8.2,8.3,9.8,10,4.6,4.5,69.2,69,1.171,1.161,56.5,56.5,9.53,9.49,2193,1030.1,2690.9,2646.5,2579.9,2063.4,73.4,71.7
OREI-STRIPS_2018,2018,Adsit,Adsit2018,GA,WISCONSIN,FOS8507,CHECK2,17,9.6,56.5,17.60,6.3,3.13,81,15,50,1835,597,216,35,19.6,10.7,48,17.204,1.473,11.6832,2.310778443,0.135928144,16.2169,13.256,438.6456,CL,21,47,32,9.4,9.4,7.8,7.9,3.5,3.5,72.1,72.1,1.219,1.233,57.8,58,9.68,9.73,3257.5,2068.7,3008.3,4150.5,4264.9,3686.2,86.9,85.7
OREI-STRIPS_2018,2018,Adsit,Adsit2018,GA,WISCONSIN,M9 x NG10-2-3-2,ORG18,17,10.4,57.8,19.21,6.5,3.01,80,15,45,2093,686,195,33,19.9,10,35,16.391,1.42,11.5396,1.838161838,0.11988012,16.6923,14.824,435.24,CL,27,39,34,9.5,9.5,8.7,8.5,4,4.2,71.1,71,1.261,1.246,57.1,57,9.82,9.76,2466.5,2492.1,3040.4,2465.9,2777.1,3239.7,65.1,63.1
OREI-STRIPS_2018,2018,Adsit,Adsit2018,GA,WISCONSIN,NG10 x MBS5507,ORG19,17,10.8,54.5,18.26,6.5,3.01,80,12,53,1996,649,190,28,11.8,9.9,40,16.053,1.371,11.7065,2.916383616,0.157642358,16.3572,15.704,396.0756,C,36,19,45,9.5,9.6,8.8,8.7,3.8,3.8,71.1,70.9,1.219,1.185,55.5,55,9.71,9.53,1916.7,1583.2,2543.3,2706.5,2123.1,2897.6,71.3,70.7
OREI-STRIPS_2018,2018,Adsit,Adsit2018,GA,WISCONSIN,17.2B24,ORG4,17,10.1,54.2,17.75,6.2,3.09,81,14,55,1845,572,218,34,17.4,10.4,51,16.123,1.333,12.0979,2.904095904,0.102497502,19.9582,9.536,394.3728,C,18,39,43,8.9,9.1,7.1,7.1,4.3,4.3,71.7,71.7,1.142,1.144,53.8,53.7,9.6,9.61,2604.8,2646.4,3078.2,2881.6,3377.7,3651.3,73.6,71.8
OREI-STRIPS_2018,2018,Beiler,Beiler2018,MB,WISCONSIN,NG10 x MBS5507,ORG19,8.5,10.1,52.6,19.02,6.9,2.45,69,9,20,2351,702,78,18,10.1,9.6,16,14.77,1.474,10.0183,2.3328,0.192,12.2799,18.096,401.184,SiCL,2,65,33,10,9.9,10.1,10.1,3.6,4,69.8,69.4,1.184,1.183,53.7,53.7,9.39,9.4,979.7,669.7,1142,1010.2,1385.6,677.3,72,72.6
OREI-STRIPS_2018,2018,Beiler,Beiler2018,MB,WISCONSIN,17.461,ORG1,8.5,9.6,54.1,12.01,7,2.5,70,10,50,1557,416,60,17,3.8,9.3,47,15.708,1.636,9.6044,1.903984064,0.139840637,13.6591,8.392,331.3692,SiL,2,73,25,9.8,10.1,9.6,9.5,4.2,4.1,69.4,69.6,1.155,1.151,53.7,53.9,9.31,9.28,1502.1,1297.5,960.1,1943.8,1696.2,1614.9,79.9,78.1
