"","site","year","prcp_May","prcp_Jun","prcp_Jul","prcp_Aug","prcp_Sep","srad_May","srad_Jun","srad_Jul","srad_Aug","srad_Sep","tmax_May","tmax_Jun","tmax_Jul","tmax_Aug","tmax_Sep","tmin_May","tmin_Jun","tmin_Jul","tmin_Aug","tmin_Sep","temp_May","temp_Jun","temp_Jul","temp_Aug","temp_Sep","GDD_May","GDD_Jun","GDD_Jul","GDD_Aug","GDD_Sep"
"1","Adsit2018","2018",162.82,183.08,59.46,131.14,222.38,372.14064516129,352.080333333333,398.134838709677,340.136774193548,315.131,74.5554838709677,76.9142,82.1596129032258,81.3269677419355,74.0636,50.5545161290323,57.7094,59.6305806451613,60.6890967741936,53.2658,62.555,67.3118,70.8950967741935,71.0080322580645,63.6647,383.319,508.788,640.179,644.85,407.331
"2","Adsit2019","2019",165.29,134.3,97.92,97.72,201.67,367.349032258065,383.188,378.83064516129,366.868387096774,295.494,64.8110967741935,75.6782,84.1657419354839,78.5886451612903,74.5484,44.1267741935484,54.098,62.9896129032258,56.9758709677419,56.3372,54.468935483871,64.8881,73.5776774193548,67.7822580645161,65.4428,138.969,445.545,714.402,550.872,463.284
"3","Ambriole2018","2018",92.72,143.68,115.54,206.17,45.72,382.387096774194,351.352,385.461612903226,354.518709677419,331.311333333333,79.1594193548387,81.2672,82.9545161290323,82.3831612903226,78.1208,54.2961935483871,62.2964,62.4455483870968,62.9762580645161,58.0604,66.7278064516129,71.7818,72.7000322580645,72.6797096774194,68.0906,505.746,638.622,688.14,696.591,528.156
"4","Ambriole2019","2019",120.33,119.26,143.41,134.17,99.38,388.047096774194,380.894,377.428064516129,375.330322580645,331.144666666667,69.1084516129032,77.4128,84.735935483871,80.1070322580645,77.8322,48.9321935483871,58.2608,64.7321290322581,59.5568387096774,57.6134,59.0203225806452,67.8368,74.7340322580645,69.831935483871,67.7228,279.63,533.016,747.189,614.394,530.586
"5","Ambriole2020","2020",111.33,55.12,114.32,62.16,76.34,378.188709677419,413.175333333333,362.324838709677,403.316774193548,339.460666666667,69.147935483871,83.3408,86.9603870967742,83.4985806451613,75.3842,47.8969032258065,59.2148,65.3098709677419,59.5086451612903,51.6434,58.5224193548387,71.2778,76.1351290322581,71.5036129032258,63.5138,261.531,626.193,778.761,653.067,405.414
"6","Ambriole2021","2021",113.34,128.78,126.44,136.43,101.76,399.510967741935,366.421333333333,365.547096774194,367.285806451613,350.388666666667,69.7018709677419,82.4468,81.9964516129032,84.2917419354839,78.7964,46.8784516129032,62.0336,63.2770322580645,63.2950322580645,55.3622,58.2901612903226,72.2402,72.6367419354839,73.7933870967742,67.0793,257.031,659.718,696.33,724.455,509.877
"7","Anibas2019","2019",174.37,120.63,146.23,81.96,177.95,402.234516129032,375.745,347.971290322581,353.906451612903,290.353,64.5666451612903,77.234,82.8447741935484,78.4156129032258,74.1608,43.2865806451613,55.2992,63.0261935483871,57.6401290322581,55.0856,53.9266129032258,66.2666,72.9354838709677,68.0278709677419,64.6232,123.777,486.18,703.836,558.216,438.696
"8","Anibas2020","2020",151.85,140.29,82.77,65.09,36.98,362.315806451613,386.749,366.481290322581,352.497741935484,303.271333333333,67.5441935483871,81.8072,84.6790322580645,81.5749032258065,69.3206,46.3796774193548,58.0172,63.0064516129032,59.6718064516129,48.9134,56.961935483871,69.9122,73.8427419354839,70.6233548387097,59.117,216.594,587.817,717.057,632.466,274.068
"9","Beiler2018","2018",200.84,145.1,88.46,223.1,240.66,349.381612903226,342.995,404.013225806452,335.166451612903,307.774333333333,75.9815483870968,78.4928,81.8692903225807,80.3149032258064,73.511,53.721935483871,60.6968,61.0636129032258,61.3748387096774,53.4848,64.8517419354839,69.5948,71.4664516129032,70.8448709677419,63.4979,450.261,577.584,658.017,645.705,403.209
"10","Beiler2019","2019",148.01,145.02,145.68,97.04,351.81,377.29935483871,367.664,362.102903225806,364.738709677419,277.836333333333,65.9003870967742,76.7366,83.7987741935484,77.6305806451613,74.2604,45.5627096774194,56.714,64.3732903225806,57.7638064516129,56.2646,55.7315483870968,66.7253,74.0860322580645,67.6971935483871,65.2625,177.678,500.031,736.749,548.613,457.875
