Site,Farm,Year,month,prcp,srad,tmax,tmin,temp
Adsit2018,Adsit,2018,May,36.71,354.5257143,72.29685714,48.34657143,60.32171429
Adsit2018,Adsit,2018,Jun,43.94,321.1033333,73.577,56.201,64.889
Adsit2018,Adsit,2018,Jul,0.72,419.5583333,80.246,58.442,69.344
Adsit2018,Adsit,2018,Aug,9.18,334.5366667,80.285,60.839,70.562
Adsit2018,Adsit,2018,Sep,23.36,360.67,76.331,52.733,64.532
Ambriole2018,Ambriole,2018,May,16.66,378.2557143,77.73285714,53.78,65.75642857
Ambriole2018,Ambriole,2018,Jun,60.19,327.42,79.307,60.611,69.959
Ambriole2018,Ambriole,2018,Jul,2.99,396.89,81.845,61.592,71.7185
Ambriole2018,Ambriole,2018,Aug,16.37,341.9466667,82.055,64.112,73.0835
Ambriole2018,Ambriole,2018,Sep,11.65,311.1316667,74.987,57.764,66.3755
Beiler2018,Beiler,2018,May,39.88,354.5,73.83457143,52.03142857,62.933
Beiler2018,Beiler,2018,Jun,31.65,310.2,77.051,61.187,69.119
Beiler2018,Beiler,2018,Jul,0,427.555,80.15,59.087,69.6185
Beiler2018,Beiler,2018,Aug,10.99,331.425,79.865,62.045,70.955
Beiler2018,Beiler,2018,Sep,32.2,343.8333333,75.308,52.331,63.8195
Buxton2018,Buxton,2018,May,2.71,408.9528571,83.84,59.59142857,71.71571429
Buxton2018,Buxton,2018,Jun,56.16,344.6116667,85.526,65.24,75.383
Buxton2018,Buxton,2018,Jul,8.07,388.2683333,82.85,64.37,73.61
Buxton2018,Buxton,2018,Aug,3.44,371.6133333,83.633,65.9,74.7665
Buxton2018,Buxton,2018,Sep,40.7,332.0266667,79.631,60.128,69.8795
Dahnert2018,Dahnert,2018,May,32.89,347.24,73.094,50.73028571,61.91214286
Dahnert2018,Dahnert,2018,Jun,22.41,294.125,75.08,58.52,66.8
Dahnert2018,Dahnert,2018,Jul,0.99,417.625,80.951,59.927,70.439
Dahnert2018,Dahnert,2018,Aug,15.58,341.0616667,80.309,62.024,71.1665
Dahnert2018,Dahnert,2018,Sep,30.9,345.6,76.859,53.585,65.222
Erisman2018,Erisman,2018,May,6.69,412.5457143,83.83742857,59.25971429,71.54857143
Erisman2018,Erisman,2018,Jun,70.23,348.6216667,86.426,65.429,75.9275
Erisman2018,Erisman,2018,Jul,2.05,384.4166667,83.036,64.463,73.7495
Erisman2018,Erisman,2018,Aug,5.86,344.3283333,84.026,65.912,74.969
Erisman2018,Erisman,2018,Sep,36.67,341.2366667,80.561,60.218,70.3895
Glazik2018,Glazik,2018,May,5.11,420.4314286,83.52885714,56.72428571,70.12657143
Glazik2018,Glazik,2018,Jun,15.49,357.3883333,83.825,63.062,73.4435
Glazik2018,Glazik,2018,Jul,3.79,406.455,82.874,62.54,72.707
Glazik2018,Glazik,2018,Aug,0,395.4916667,84.293,63.302,73.7975
Glazik2018,Glazik,2018,Sep,37.72,332.8016667,79.241,57.557,68.399
Gray2018,Gray,2018,May,6.82,425.0057143,82.24057143,55.46942857,68.855
Gray2018,Gray,2018,Jun,18.51,346.2483333,82.085,63.116,72.6005
Gray2018,Gray,2018,Jul,2.85,401.9133333,82.484,62.594,72.539
Gray2018,Gray,2018,Aug,19.88,348.5933333,84.497,64.109,74.303
Gray2018,Gray,2018,Sep,13.82,321.6583333,78.29,57.995,68.1425
Gruver2018,Gruver,2018,May,7.09,418.0814286,83.95571429,57.51885714,70.73728571
Gruver2018,Gruver,2018,Jun,26.44,335.6583333,84.23,64.049,74.1395
Gruver2018,Gruver,2018,Jul,0,440.7816667,82.46,60.881,71.6705
Gruver2018,Gruver,2018,Aug,6.12,349.9666667,83.822,64.028,73.925
Gruver2018,Gruver,2018,Sep,30.34,351.935,78.143,55.718,66.9305
Stoltzfus2018,Stoltzfus,2018,May,31.08,350.6028571,73.91171429,51.8,62.85585714
Stoltzfus2018,Stoltzfus,2018,Jun,40.76,314.175,77.171,60.704,68.9375
Stoltzfus2018,Stoltzfus,2018,Jul,0,426.2283333,80.216,58.784,69.5
Stoltzfus2018,Stoltzfus,2018,Aug,4.9,347.5566667,80,61.502,70.751
Stoltzfus2018,Stoltzfus,2018,Sep,26.93,360.95,76.067,52.043,64.055
Wilken2018,Wilken,2018,May,1.24,441.4757143,82.23542857,55.24314286,68.73928571
Wilken2018,Wilken,2018,Jun,25.81,327.0616667,82.502,63.101,72.8015
Wilken2018,Wilken,2018,Jul,1.22,413.6833333,82.493,62.51,72.5015
Wilken2018,Wilken,2018,Aug,3.35,370.57,84.506,63.932,74.219
Wilken2018,Wilken,2018,Sep,16.19,326.5133333,78.593,57.647,68.12
Zinniker2018,Zinniker,2018,May,26.09,391.25,72.28142857,47.52885714,59.90514286
Zinniker2018,Zinniker,2018,Jun,57.43,293.7516667,73.145,55.898,64.5215
Zinniker2018,Zinniker,2018,Jul,1.57,421.7133333,79.643,57.437,68.54
Zinniker2018,Zinniker,2018,Aug,8.85,339.6833333,80.462,60.173,70.3175
Zinniker2018,Zinniker,2018,Sep,28.08,361.3333333,76.037,52.097,64.067
Adsit2019,Adsit,2019,May,29.18,319.8971429,63.60028571,46.93742857,55.26885714
Adsit2019,Adsit,2019,Jun,22.71,396.945,74.462,53.243,63.8525
Adsit2019,Adsit,2019,Jul,25.89,363.8583333,84.005,63.14,73.5725
Adsit2019,Adsit,2019,Aug,12.53,383.7433333,80.096,57.611,68.8535
Adsit2019,Adsit,2019,Sep,100.22,251.0233333,73.754,57.389,65.5715
Ambriole2019,Ambriole,2019,May,50.41,410.0585714,68.50914286,47.43371429,57.97142857
Ambriole2019,Ambriole,2019,Jun,7.17,401.6833333,78.755,57.986,68.3705
Ambriole2019,Ambriole,2019,Jul,20.24,364.28,83.474,64.412,73.943
Ambriole2019,Ambriole,2019,Aug,86.9,350.6383333,80.789,62.159,71.474
Ambriole2019,Ambriole,2019,Sep,74.49,312.3116667,79.301,59.021,69.161
Anibas2019,Anibas,2019,May,18.38,416.1942857,67.51657143,44.19628571,55.85642857
Anibas2019,Anibas,2019,Jun,6.37,381.24,76.037,54.806,65.4215
Anibas2019,Anibas,2019,Jul,7.75,361.78,83.003,63.317,73.16
Anibas2019,Anibas,2019,Aug,25.7,345.1633333,79.538,59.111,69.3245
Anibas2019,Anibas,2019,Sep,41.59,267.955,72.962,56.15,64.556
Beiler2019,Beiler,2019,May,20.35,355.85,65.93257143,47.59571429,56.76414286
Beiler2019,Beiler,2019,Jun,9.82,358.0166667,75.305,56.294,65.7995
Beiler2019,Beiler,2019,Jul,36.66,372.4016667,83.054,63.293,73.1735
Beiler2019,Beiler,2019,Aug,31.19,363.6466667,78.152,58.262,68.207
Beiler2019,Beiler,2019,Sep,121.5,237.3883333,73.745,57.659,65.702
Bryan2019,Bryan,2019,May,58,367.7557143,70.63828571,49.568,60.10314286
Bryan2019,Bryan,2019,Jun,9.22,425.0183333,80.66,59.171,69.9155
Bryan2019,Bryan,2019,Jul,37.4,338.16,84.644,66.563,75.6035
Bryan2019,Bryan,2019,Aug,23.91,313.805,80.435,62.693,71.564
Bryan2019,Bryan,2019,Sep,26.09,312.675,81.266,60.104,70.685
Doonan2019,Doonan,2019,May,57.4,326.2485714,69.638,50.32142857,59.97971429
Doonan2019,Doonan,2019,Jun,6.51,387.1783333,79.769,60.599,70.184
Doonan2019,Doonan,2019,Jul,27.86,361.4183333,86.543,66.272,76.4075
Doonan2019,Doonan,2019,Aug,10.44,349.065,81.785,62.192,71.9885
Doonan2019,Doonan,2019,Sep,103.28,271.9166667,78.974,60.803,69.8885
Doudlah2019,Doudlah,2019,May,31.11,327.5728571,64.51828571,47.63685714,56.07757143
Doudlah2019,Doudlah,2019,Jun,8.57,360.775,75.416,55.595,65.5055
Doudlah2019,Doudlah,2019,Jul,34.48,389.545,84.296,63.593,73.9445
Doudlah2019,Doudlah,2019,Aug,13.89,372.025,79.805,58.199,69.002
Doudlah2019,Doudlah,2019,Sep,70.38,252.1333333,73.937,57.713,65.825
Gruver2019,Gruver,2019,May,64.79,347.1628571,71.33,50.74571429,61.03785714
Gruver2019,Gruver,2019,Jun,29.22,402.955,80.525,60.371,70.448
Gruver2019,Gruver,2019,Jul,28.7,390.915,86.609,66.875,76.742
Gruver2019,Gruver,2019,Aug,8.29,344.8366667,82.349,63.512,72.9305
Gruver2019,Gruver,2019,Sep,126.47,278.145,79.793,61.277,70.535
Longwell2019,Longwell,2019,May,26.96,380.9042857,72.43057143,50.34714286,61.38885714
Longwell2019,Longwell,2019,Jun,11.77,423.3833333,81.224,58.781,70.0025
Longwell2019,Longwell,2019,Jul,11.71,340.6683333,84.023,66.371,75.197
Longwell2019,Longwell,2019,Aug,26.1,318.5166667,80.993,63.881,72.437
Longwell2019,Longwell,2019,Sep,10.35,347.3516667,83.573,59.507,71.54
Smith2019,Smith,2019,May,60.82,315.9985714,71.384,51.76657143,61.57528571
