EXP,YEAR,FAR,STAT,FARMYR,LAT,LONG,PEDIGREE,HYBRID,PROG,CCT,RTNL,WRT,PDTY,NSRC,PDT,PHT,EHT,YIELD,CEC,pH,OM,Su,P,Ca,Mg,K,Na,NO3N,TOC,TON,Sand,Silt,Clay,prcp,srad,tmax,tmin,temp,R
OREI-STRIPS,2018,Glazik,ILLINOIS,Glazik2018,40.443773,-88.21818,F34.A22,KEV1,CONV,Mixed,Extensive,Moderate,32000,CC,5/19/2018,200.4,104,91.10,33.25,6.5,5.17,11,19,4496,735,179,15,10.8,27.78,2.148,8,29,63,151.17,10796.55,83.6342,62.0222,72.8282,NO
OREI-STRIPS,2018,Glazik,ILLINOIS,Glazik2018,40.443773,-88.21818,P31.A22,KEV3,CONV,Mixed,Extensive,Moderate,32000,CC,5/19/2018,198.2,99,90.89,32.53,6.7,5.19,13,24,4562,734,215,14,12.3,29.026,2.181,8,32,60,151.17,10796.55,83.6342,62.0222,72.8282,NO
OREI-STRIPS,2018,Glazik,ILLINOIS,Glazik2018,40.443773,-88.21818,H69.A22,KEV2,CONV,Mixed,Extensive,Moderate,32000,CC,5/19/2018,236.6,121.2,77.57,30.76,6.5,4.23,13,10,3973,784,189,14,7.6,23.688,1.896,6,33,61,151.17,10796.55,83.6342,62.0222,72.8282,NO
OREI-STRIPS,2018,Erisman,ILLINOIS,Erisman2018,39.4780916,-89.0052032,17.461,ORG1,CHECK,Mixed,Extensive,High,32000,Cattle,5/28/2018,231.6,107.2,99.43,15.89,6.4,2.67,11,16,2292,224,97,20,22,16.32,1.476,4,60,36,225.25,11418.38,84.92522581,64.35064516,74.63793548,NO
OREI-STRIPS,2018,Erisman,ILLINOIS,Erisman2018,39.4780916,-89.0052032,P31.A22,KEV3,CHECK,Mixed,Extensive,High,32000,Cattle,5/28/2018,219.6,98.2,112.37,15.71,6.4,2.8,10,13,2285,219,70,18,13.4,15.186,1.37,5,55,40,225.25,11418.38,84.92522581,64.35064516,74.63793548,NO
OREI-STRIPS,2018,Erisman,ILLINOIS,Erisman2018,39.4780916,-89.0052032,F34.A22,KEV1,CHECK,Mixed,Extensive,High,32000,Cattle,5/28/2018,232.4,122.6,109.51,15.46,6.4,2.9,11,13,2240,218,74,20,15.9,15.55,1.396,5,55,40,225.25,11418.38,84.92522581,64.35064516,74.63793548,NO
OREI-STRIPS,2018,Erisman,ILLINOIS,Erisman2018,39.4780916,-89.0052032,461.2B24,ORG2,CHECK,Mixed,Extensive,High,32000,Cattle,5/28/2018,229,116.4,105.56,16.92,6.3,2.75,11,12,2438,214,89,18,19.5,16.291,1.442,7,57,36,225.25,11418.38,84.92522581,64.35064516,74.63793548,NO
OREI-STRIPS,2018,Erisman,ILLINOIS,Erisman2018,39.4780916,-89.0052032,17.2B24,ORG4,CHECK,Mixed,Extensive,High,32000,Cattle,5/28/2018,218.4,118.6,108.47,14.73,6.3,2.93,10,11,2128,186,64,17,14.5,16,1.369,6,63,31,225.25,11418.38,84.92522581,64.35064516,74.63793548,NO
OREI-STRIPS,2018,Erisman,ILLINOIS,Erisman2018,39.4780916,-89.0052032,H69.A22,KEV2,CHECK,Mixed,Extensive,High,32000,Cattle,5/28/2018,208.2,99.4,96.01,15.92,6.2,3.02,10,12,2231,213,68,18,14.2,16.146,1.382,6,64,30,225.25,11418.38,84.92522581,64.35064516,74.63793548,NO
OREI-STRIPS,2018,Erisman,ILLINOIS,Erisman2018,39.4780916,-89.0052032,NG10.S7,KEV4,CHECK,Mixed,Extensive,High,32000,Cattle,5/28/2018,223.2,112.4,125.70,14.57,6.2,2.82,10,13,2041,189,80,18,15.8,16.063,1.441,7,55,38,225.25,11418.38,84.92522581,64.35064516,74.63793548,NO
