,site,prcp_May,prcp_Jun,prcp_Jul,prcp_Aug,srad_May,srad_Jun,srad_Jul,srad_Aug,tmax_May,tmax_Jun,tmax_Jul,tmax_Aug,tmin_May,tmin_Jun,tmin_Jul,tmin_Aug,temp_May,temp_Jun,temp_Jul,temp_Aug
1,Ambriole2018,20.6,47.66,52.17,15.25,358.35625,342.38,400.79,382.20375,76.20125,80.447,83.03,81.37625,56.021,62.2445,61.81828571,62.3705,66.111125,71.34575,72.42414286,71.873375
2,Ambriole2019,40.14,59.08,62.87,84.94,373.2825,395.9614286,367.5575,382.6828571,68.65025,77.42428571,84.76925,80.43028571,48.8975,56.47485714,65.14025,59.78685714,58.773875,66.94957143,74.95475,70.10857143
3,Ambriole2020,36.55,33.23,78.92,18.03,396.38125,409.3971429,318.75125,381.415,71.0465,84.89171429,85.83575,82.454,49.5365,61.40942857,66.60725,61.12175,60.2915,73.15057143,76.2215,71.787875
4,Bryan2020,24.11,12.12,5.18,15.45,373.38875,416.03875,352.6542857,397.83375,69.49625,82.18625,85.70428571,82.544,50.57375,59.36,66.91742857,60.12725,60.035,70.773125,76.31085714,71.335625
5,Buxton2018,14.51,16.6,0,14.29,343.83,358.00875,434.2528571,375.29625,83.05925,86.522,86.14657143,85.31375,61.88,66.36875,64.76257143,65.4665,72.469625,76.445375,75.45457143,75.390125
6,Champaign IL,38.99,11.31,7.37,23.78,365.59375,405.9357143,385.42625,406.6557143,67.883,81.59771429,87.422,84.182,46.57325,59.23914286,64.5575,60.08,57.228125,70.41842857,75.98975,72.131
7,Doonan2019,77.97,85.55,19.97,20.33,337.935,363.0114286,386.60375,348.3528571,67.34975,80.67714286,87.56825,82.07085714,48.83,60.53257143,68.099,61.63314286,58.089875,70.60485714,77.833625,71.852
8,Doonan2020,20.44,37.63,72.91,6,345.8742857,357.33,365.21125,384.65875,67.71457143,82.50575,86.06975,82.3235,49.77885714,63.5315,66.2585,61.03175,58.74671429,73.018625,76.164125,71.677625
9,Erisman2018,5.24,104.48,89.67,25.86,398.6785714,360.195,363.84875,354.41,83.39257143,86.06075,85.469,84.587,59.64028571,65.18525,66.74225,65.246,71.51642857,75.623,76.105625,74.9165
10,Glazik2018,30.47,32.24,38.92,49.54,404.455,348.7642857,349.82,331.5714286,83.768,83.37971429,82.80725,84.68085714,55.97825,63.42285714,64.62275,64.55685714,69.873125,73.40128571,73.715,74.61885714
11,Gray2018,20.29,15.87,0,8.39,370.21625,386.8728571,442.9675,356.51,82.697,84.04057143,83.10875,83.93225,58.61075,63.01142857,60.99575,63.57425,70.653875,73.526,72.05225,73.75325
12,Gruver2018,20.4,21.52,14.14,50.14,341.7285714,307.60625,385.06,337.76375,80.798,82.7645,84.9065,84.16175,57.776,64.11875,64.76675,63.57875,69.287,73.441625,74.836625,73.87025
13,Gruver2019,68.22,15.65,0,56.72,327.64875,345.6885714,420.1075,337.18875,70.45475,78.68171429,86.072,81.581,51.3905,61.68714286,65.63075,61.54925,60.922625,70.18442857,75.851375,71.565125
14,Gruver2020,31.18,30.34,12.21,0,338.06625,397.8042857,350.21625,430.4871429,66.5465,82.60057143,85.95725,84.26428571,47.8085,61.12142857,67.68275,61.07257143,57.1775,71.861,76.82,72.66842857
15,Longwell2019,16.26,2.25,30.63,9.11,348.3457143,393.02875,406.275,353.7625,70.16257143,79.898,87.68075,80.915,51.18285714,60.97325,64.95125,61.736,60.67271429,70.435625,76.316,71.3255
16,Longwell2020,15.71,36.11,19,7.57,355.6171429,403.9525,418.76625,393.5425,67.41114286,83.45075,86.1755,80.7575,49.02028571,61.00925,64.022,59.9045,58.21571429,72.23,75.09875,70.331
17,Smith2019,72.41,19.56,6.95,45.35,344.8225,336.1728571,393.41875,351.53875,72.68225,79.94685714,85.9505,82.2425,51.872,61.77971429,66.05375,61.57175,62.277125,70.86328571,76.002125,71.907125
18,Smith2020,14.94,8.07,3.63,9.78,337.69,411.35875,405.7242857,418.0725,70.8665,84.64325,86.65571429,84.578,53.18375,63.0185,64.80885714,60.602,62.025125,73.830875,75.73228571,72.59
19,Steiner2019,73.64,38.57,40.57,39.73,360.58,346.76875,396.7357143,337.23875,70.9565,78.8945,86.07457143,80.6135,52.63025,60.971,65.86828571,61.7945,61.793375,69.93275,75.97142857,71.204
20,Wilken2018,19.55,24.37,24.43,53.71,413.6325,334.9042857,367.6725,329.5357143,82.94,82.886,82.52375,84.92771429,54.383,62.56657143,64.688,64.60828571,68.6615,72.72628571,73.605875,74.768
21,Wilken2020,16.76,18.85,62.38,18.79,411.08875,412.63,325.235,371.8025,71.21525,85.14114286,85.523,82.23125,49.03925,61.15742857,66.65225,61.2815,60.12725,73.14928571,76.087625,71.756375
