site,SN,Farm2,Year,Farm_code,City,State,Lat,Long,NSRC,CC,FS,WRT,Population,YOM,Rotation,Rot_Seq,Perennials,CI,Species,DiversityIndex,CD,CEC,pH,OM,SOC,TN,SoilCN,InorgN,Bray1P,K,Ca,Mg,POMC,POMN,POMCN,PMN,POXC,FDA,PropPOMC,PropPOMN,PropPMN,PropPOXC,PropFDA,Sand,Silt,Clay
Erisman2018,1,Erisman,2018,JE,Pana,Illinois,39.4782919,-89.0059935,Cattle,Mixed,Mix,High,32000,28,Grass fallow,Oat/PastureM4-PastureM4-PastureM4-Corn,Present,Low,6,1.5,High,14.9,6.4,2.73,15.3,1.44,10.6,30.2,14,87,2145,216,2.38,0.18,13.2,36.4,463,34.4,0.16,0.13,0.0254,0.03,2.25,4,66,30
Gruver2018,2,Gruver,2018,JG,Macomb,Illinois,40.667232,-90.752979,Chicken,Grass,Animal,Low,32000,28,Intensive,Soybean/CCG-Corn/CCG-Soybean/CCG-Corn/CCG,Absent,High,3,0.75,Low,29.8,6.6,5,26.5,1.86,14.2,14.9,18,81,4199,639,1.32,0.09,14.5,62.3,694,47.3,0.05,0.05,0.0335,0.026,1.78,2,63,35
Gray2018,3,Gray,2018,MG,Watseka,Illinois,40.8283439,-87.7649739,CC,Mixed,Green,Moderate,NA,6,Extensive,CCM-Vegetables-CCM-Corn,Absent,High,4,1,Low,10.9,6,1.9,12.4,1.07,11.6,11.8,50,91,1321,208,0.93,0.08,13.2,58.2,316.3,10.2,0.07,0.07,0.0544,0.026,0.82,75,14,11
Buxton2018,4,Buxton,2018,SB,Sullivan,Illinois,39.621811,-88.6740077,Cattle,Mixed,Mix,Low,32000,6,Intensive,Pumpkin/CCM-CCM18-Corn,Absent,High,22,7.333333333,High,13.9,6.6,2.62,17.5,1.53,11.4,35.6,154,294,1920,235,4.31,0.3,14.1,18.8,499.9,29.8,0.25,0.2,0.0123,0.029,1.7,13,58,29
Glazik2018,5,Glazik,2018,WG,Paxton,Illinois,40.443875,-88.2255508,CC,Mixed,Green,Moderate,32000,3,Intensive,Wheat/CCL2-CCL2-Corn,Absent,Medium,4,1.333333333,High,29,6.5,4.28,23.2,1.79,12.9,10.9,8,158,3918,646,1.97,0.14,14.9,55.8,701.1,27.1,0.09,0.08,0.0312,0.03,1.17,9,34,57
Ambriole2018,6,Ambriole,2018,AA,Tri-Lakes,Indiana,40.9754707,-85.3479351,Duck,Mixed,Mix,Moderate,28000,5,Extensive,Soybean/CCG-Sorghum+Sudangrass-Tritcale Forage/CCM14-Corn,Absent,High,20,5,High,13.8,6.1,3.56,19.3,1.86,10.4,18.6,49,189,1715,254,2.85,0.19,13.6,34.8,630.8,19.7,0.15,0.1,0.0187,0.033,1.02,43,29,28
Dahnert2018,7,Dahnert,2018,DA,Fort Atkinson,Wisconsin,42.921663,-88.793579,CC,Mixed,Green,NA,NA,7,Mixed fallow,CCM-CCM-CCM-Corn,Absent,Medium,3,0.75,Low,28.7,8.1,3.41,31,2.9,10.7,18.7,8,96,3997,890,3.32,0.1,29.2,17,935.9,31.6,0.11,0.03,0.0059,0.03,1.02,24,35,41
Adsit2018,8,Adsit,2018,GA,East Troy,Wisconsin,42.793254,-88.444177,Chicken,Legume,Mix,NA,NA,5,Legume fallow,HayL-HayL-CCL-Corn/CCG,Present,Low,3,0.75,Low,17.6,6.3,3.13,17.2,1.47,11.7,30.3,48,216,1835,597,2.31,0.14,16.2,13.3,438.6,12.9,0.13,0.09,0.009,0.025,0.75,21,47,32
Beiler2018,9,Beiler,2018,MB,Rewey,Wisconsin,42.850064,-90.360395,Cattle,Legume,Mix,NA,NA,7,Legume fallow,HayL-CCL-Wheat-Corn,Present,Medium,3,0.75,Low,11.7,7.2,2.43,16.2,1.36,11.9,12.6,41,55,1461,447,2.07,0.16,13.2,12.5,346.7,27.1,0.13,0.12,0.0091,0.021,1.67,2,73,25
Stoltzfus2018,10,Stoltzfus,2018,MS,Fayette,Wisconsin,42.735827,-90.042083,Cattle,Mixed,Mix,NA,NA,6,Extensive,Corn/Tobacco-Wheat/HayL3-HayL3-Corn,Present,Medium,6,1.5,High,18.9,7.3,3.86,21.6,2.08,10.4,13.4,29,243,2159,789,4.36,0.33,13.3,18.5,607.2,37.1,0.2,0.16,0.0089,0.028,1.71,3,65,32
