site,SN,Farm2,Year,Farm_code,City,State,Lat,Long,NSRC,CC,FS,WRT,Population,YOM,Rotation,Rot_Seq,Perennials,CI,Species,DiversityIndex,CD,CEC,pH,OM,SOC,TN,SoilCN,InorgN,Bray1P,K,Ca,Mg,POMC,POMN,POMCN,PMN,POXC,FDA,PropPOMC,PropPOMN,PropPMN,PropPOXC,PropFDA,Sand,Silt,Clay,prcp_May,prcp_Jun,prcp_Jul,prcp_Aug,prcp_Sep,srad_May,srad_Jun,srad_Jul,srad_Aug,srad_Sep,tmax_May,tmax_Jun,tmax_Jul,tmax_Aug,tmax_Sep,tmin_May,tmin_Jun,tmin_Jul,tmin_Aug,tmin_Sep,temp_May,temp_Jun,temp_Jul,temp_Aug,temp_Sep
Buxton2018,4,Buxton,2018,SB,Sullivan,Illinois,39.621811,-88.6740077,Cattle,Mixed,Mix,Low,32000,6,Intensive,Pumpkin/CCM-CCM18-Corn,Absent,High,22,7.333333333,High,13.9,6.6,2.62,17.5,1.53,11.4,35.6,154,294,1920,235,4.31,0.3,14.1,18.8,499.9,29.8,0.25,0.2,0.0123,0.029,1.7,13,58,29,2.71,56.16,8.07,3.44,40.7,408.9528571,344.6116667,388.2683333,371.6133333,332.0266667,83.84,85.526,82.85,83.633,79.631,59.59142857,65.24,64.37,65.9,60.128,71.71571429,75.383,73.61,74.7665,69.8795
Erisman2018,1,Erisman,2018,JE,Pana,Illinois,39.4782919,-89.0059935,Cattle,Mixed,Mix,High,32000,28,Grass fallow,Oat/PastureM4-PastureM4-PastureM4-Corn,Present,Low,6,1.5,High,14.9,6.4,2.73,15.3,1.44,10.6,30.2,14,87,2145,216,2.38,0.18,13.2,36.4,463,34.4,0.16,0.13,0.0254,0.03,2.25,4,66,30,6.69,70.23,2.05,5.86,36.67,412.5457143,348.6216667,384.4166667,344.3283333,341.2366667,83.83742857,86.426,83.036,84.026,80.561,59.25971429,65.429,64.463,65.912,60.218,71.54857143,75.9275,73.7495,74.969,70.3895
Glazik2018,5,Glazik,2018,WG,Paxton,Illinois,40.443875,-88.2255508,CC,Mixed,Green,Moderate,32000,3,Intensive,Wheat/CCL2-CCL2-Corn,Absent,Medium,4,1.333333333,High,29,6.5,4.28,23.2,1.79,12.9,10.9,8,158,3918,646,1.97,0.14,14.9,55.8,701.1,27.1,0.09,0.08,0.0312,0.03,1.17,9,34,57,5.11,15.49,3.79,0,37.72,420.4314286,357.3883333,406.455,395.4916667,332.8016667,83.52885714,83.825,82.874,84.293,79.241,56.72428571,63.062,62.54,63.302,57.557,70.12657143,73.4435,72.707,73.7975,68.399
Gray2018,3,Gray,2018,MG,Watseka,Illinois,40.8283439,-87.7649739,CC,Mixed,Green,Moderate,NA,6,Extensive,CCM-Vegetables-CCM-Corn,Absent,High,4,1,Low,10.9,6,1.9,12.4,1.07,11.6,11.8,50,91,1321,208,0.93,0.08,13.2,58.2,316.3,10.2,0.07,0.07,0.0544,0.026,0.82,75,14,11,6.82,18.51,2.85,19.88,13.82,425.0057143,346.2483333,401.9133333,348.5933333,321.6583333,82.24057143,82.085,82.484,84.497,78.29,55.46942857,63.116,62.594,64.109,57.995,68.855,72.6005,72.539,74.303,68.1425
Gruver2018,2,Gruver,2018,JG,Macomb,Illinois,40.667232,-90.752979,Chicken,Grass,Animal,Low,32000,28,Intensive,Soybean/CCG-Corn/CCG-Soybean/CCG-Corn/CCG,Absent,High,3,0.75,Low,29.8,6.6,5,26.5,1.86,14.2,14.9,18,81,4199,639,1.32,0.09,14.5,62.3,694,47.3,0.05,0.05,0.0335,0.026,1.78,2,63,35,7.09,26.44,0,6.12,30.34,418.0814286,335.6583333,440.7816667,349.9666667,351.935,83.95571429,84.23,82.46,83.822,78.143,57.51885714,64.049,60.881,64.028,55.718,70.73728571,74.1395,71.6705,73.925,66.9305
Wilken2018,12,Wilken,2018,HW,Ashkum,Illinois,40.85682,-88.0813341,Chicken,Legume,Mix,Moderate,32000,10,Intensive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.24,25.81,1.22,3.35,16.19,441.4757143,327.0616667,413.6833333,370.57,326.5133333,82.23542857,82.502,82.493,84.506,78.593,55.24314286,63.101,62.51,63.932,57.647,68.73928571,72.8015,72.5015,74.219,68.12
Doonan2019,15,Doonan,2019,TD,Reynolds,Illinois,41.3356241,-90.6676853,CC,Mixed,Green,High,35000,13,Intensive,Corn-Wheat-Soybean-Corn,Absent,High,3,0.75,Low,33.7,6,4.88,24.5,1.95,12.5,24.5,8,156,4440.21,572.64,2.56,0.16,15.7,44.5,817,43.8,0.1,0.08,0.0228,0.033,1.79,5,25,70,57.4,6.51,27.86,10.44,103.28,326.2485714,387.1783333,361.4183333,349.065,271.9166667,69.638,79.769,86.543,81.785,78.974,50.32142857,60.599,66.272,62.192,60.803,59.97971429,70.184,76.4075,71.9885,69.8885
Gruver2019,14,Gruver,2019,JG1,Macomb,Illinois,40.6666053,-90.7516163,Chicken,Mixed,Animal,Low,32000,28,Extensive,Rye/CCG-Soybean-Pea+Small grain-Corn,Absent,High,6,1.5,High,38.6,6.6,5.1,27.5,2.21,12.5,23.4,27,206,5441.5,753.5,5,0.33,15.1,52.4,726.4,55.7,0.18,0.15,0.0238,0.026,2.02,4,34,62,64.79,29.22,28.7,8.29,126.47,347.1628571,402.955,390.915,344.8366667,278.145,71.33,80.525,86.609,82.349,79.793,50.74571429,60.371,66.875,63.512,61.277,61.03785714,70.448,76.742,72.9305,70.535
Smith2019,13,Smith,2019,AS,Peoria,Illinois,40.629017,-89.7754,Turkey,Legume,Mix,Low,35000,4,Extensive,Corn/CCG-Soybean-Dry peas/CCM8-Corn,Absent,High,12,3,High,20.9,7.2,2.4,12.5,1.23,10.1,27.6,22,137,3096.5,487,1.94,0.14,14.3,29,531,20.4,0.16,0.11,0.0236,0.043,1.64,5,31,64,60.82,18.44,14.56,25.65,132.25,315.9985714,409.7683333,384.805,336.4516667,287.2733333,71.384,81.5,86.498,82.742,81.323,51.76657143,60.605,66.941,63.962,61.409,61.57528571,71.0525,76.7195,73.352,71.366
Doonan2020,30,Doonan,2020,TD1,Reynolds,Illinois,41.3298261,-90.6632141,CC,Legume,Green,Moderate,33000,14,Legume fallow,Oat/ HayL-HayL-HayL-Corn,Absent,Low,3,0.75,Low,28.1,6.2,4,19.9,1.7,11.7,20.8,24,155,3834,408,1.87,0.14,13.2,31.5,469.5,34.7,0.09,0.08,0.0184,0.024,1.74,4,42,54,17.04,26.47,61.95,0,59.88,319.6,347.4433333,328.0128571,421.6042857,308.8866667,65.684,81.476,84.81457143,83.192,77.918,49.724,63.548,66.38514286,59.97714286,55.331,57.704,72.512,75.59985714,71.58457143,66.6245
Gruver2020,29,Gruver,2020,JG2,Macomb,Illinois,40.667232,-90.752979,Chicken,Mixed,Mix,Low,32000,28,Intensive,Soybean/CCG-Corn/CCG-Soybean/CCM-Corn/CCG,Absent,High,5,1.25,High,35.9,6.5,5.2,27,2,13.7,31.6,15,132,4928,729,1.99,0.15,13.1,38.6,696.9,39.2,0.07,0.08,0.0196,0.026,1.45,4,40,56,10.74,17.1,25.97,0,58.38,322.4633333,338.7183333,347.9071429,427.9357143,339.7266667,65.783,80.567,84.56771429,82.48228571,78.734,50.168,63.332,66.35428571,59.63771429,55.409,57.9755,71.9495,75.461,71.06,67.0715
