"site","prcp_May","prcp_Jun","prcp_Jul","prcp_Aug","prcp_Sep","srad_May","srad_Jun","srad_Jul","srad_Aug","srad_Sep","tmax_May","tmax_Jun","tmax_Jul","tmax_Aug","tmax_Sep","tmin_May","tmin_Jun","tmin_Jul","tmin_Aug","tmin_Sep","temp_May","temp_Jun","temp_Jul","temp_Aug","temp_Sep"
"Adsit2018",36.71,43.94,0.72,9.18,23.36,354.525714285714,321.103333333333,419.558333333333,334.536666666667,360.67,72.2968571428571,73.577,80.246,80.285,76.331,48.3465714285714,56.201,58.442,60.839,52.733,60.3217142857143,64.889,69.344,70.562,64.532
"Adsit2019",29.18,22.71,25.89,12.53,100.22,319.897142857143,396.945,363.858333333333,383.743333333333,251.023333333333,63.6002857142857,74.462,84.005,80.096,73.754,46.9374285714286,53.243,63.14,57.611,57.389,55.2688571428571,63.8525,73.5725,68.8535,65.5715
"Ambriole2018",16.66,60.19,2.99,16.37,11.65,378.255714285714,327.42,396.89,341.946666666667,311.131666666667,77.7328571428571,79.307,81.845,82.055,74.987,53.78,60.611,61.592,64.112,57.764,65.7564285714286,69.959,71.7185,73.0835,66.3755
"Ambriole2019",50.41,7.17,20.24,86.9,74.49,410.058571428571,401.683333333333,364.28,350.638333333333,312.311666666667,68.5091428571429,78.755,83.474,80.789,79.301,47.4337142857143,57.986,64.412,62.159,59.021,57.9714285714286,68.3705,73.943,71.474,69.161
"Ambriole2020",12.72,6.22,25.92,18.42,7.68,332.868333333333,427.795,353.592857142857,390.732857142857,363.513333333333,67.295,85.355,86.3908571428571,82.616,77.687,49.067,60.62,65.0274285714286,59.2005714285714,51.425,58.181,72.9875,75.7091428571429,70.9082857142857,64.556
"Ambriole2021",25.53,6.03,33.67,31.46,53.94,418.594285714286,369.261666666667,371.881666666667,358.37,336.77,70.3271428571429,81.188,82.001,84.404,79.196,45.5797142857143,60.854,62.246,62.966,55.691,57.9534285714286,71.021,72.1235,73.685,67.4435
"Anibas2019",18.38,6.37,7.75,25.7,41.59,416.194285714286,381.24,361.78,345.163333333333,267.955,67.5165714285714,76.037,83.003,79.538,72.962,44.1962857142857,54.806,63.317,59.111,56.15,55.8564285714286,65.4215,73.16,69.3245,64.556
"Anibas2020",22.36,9.85,10.72,23.78,6,376.866666666667,352.166666666667,358.92,379.685714285714,311.946666666667,67.565,79.322,84.5265714285714,82.9451428571429,72.011,47.219,59.588,63.4408571428571,58.4111428571429,51.578,57.392,69.455,73.9837142857143,70.6781428571429,61.7945
"Beiler2018",39.88,31.65,0,10.99,32.2,354.5,310.2,427.555,331.425,343.833333333333,73.8345714285714,77.051,80.15,79.865,75.308,52.0314285714286,61.187,59.087,62.045,52.331,62.933,69.119,69.6185,70.955,63.8195
"Beiler2019",20.35,9.82,36.66,31.19,121.5,355.85,358.016666666667,372.401666666667,363.646666666667,237.388333333333,65.9325714285714,75.305,83.054,78.152,73.745,47.5957142857143,56.294,63.293,58.262,57.659,56.7641428571429,65.7995,73.1735,68.207,65.702
