FAR,HYB,PHT1,PHT2,EHT1,EHT2,SDL1,SDL2,SDS1,SDS2,MST1,MST2,TWT1,TWT2,NOP1,NOP2,GWT1,GWT2,300KWT1,300KWT2,PRO1,PRO2,OIL1,OIL2,STA1,STA2,DEN1,DEN2,FIB1,FIB2
Glazik,F34.A22,224,200,125,117,21.96,20.16,19.49,19.120,9,9,63.3,63,27,26,3053,1788,71,70.6,7.1,7.1,3.9,3.9,72.7,72.7,1.277,1.285,9.89,9.95
Glazik,P31.A22,203,205,105,110,20.85,19.03,18.61,16.750,8.6,8.9,63,63.9,26,24,2567,2272,70.1,72.3,7.5,7.2,4.1,4.2,72.4,72.4,1.28,1.278,10.02,10.03
Glazik,59R5,242,232,110,105,18.35,20.49,15.77,18.050,9,9.1,62.4,63.1,24,22,3047,2835,84.7,76.5,6.7,6.8,3.5,3.5,73.4,73.4,1.254,1.263,9.94,9.96
Glazik,H69.A22,235,235,131,116,21.64,20.33,20.09,18.89,9.3,8.9,61.8,62.8,18,17,2323,1765,78.6,72.1,8.6,8.5,4.1,4.3,71.5,71.2,1.285,1.288,9.95,9.94
Erisman,59R5,265,263,144,129,21.16,28.59,18.74,24.76,9,9.1,64.3,64.9,21,22,4627.6,3679.4,88.6,85.1,7.4,7.1,3.4,3.3,73.2,73.2,1.254,1.24,9.93,9.85
Erisman,17.461,230,225,96,83,23.15,22.58,20.02,21.32,8.8,9,58.1,58.2,19,19,1947.1,2971.6,85.8,86.9,8.6,8.9,5.1,4.9,69.4,69.4,1.147,1.162,9.27,9.28
Erisman,P31.A22,223,212,90,109,20.47,22.48,22.05,21.36,9.8,9.6,65,65,19,20,3189.6,3047.1,87.2,88.2,8.3,8.2,4.5,4.5,71.2,71.3,1.284,1.277,10,9.96
Erisman,F34.A22,225,227,116,126,20.69,21.9,18.36,20.86,10.1,9.9,63.5,63.2,22,23,3356.2,2534.7,80.1,80.6,8.6,8.4,4.4,4.2,71,71.5,1.274,1.288,9.89,10
Erisman,461.2B24,264,227,131,125,26.84,27.27,23.59,22.88,8.8,9,60.3,59.2,17,21,2896.6,2419.3,78.9,76.2,10,10.2,4.9,4.5,68.5,68.8,1.166,1.175,9.33,9.37
Erisman,17.2B24,218,220,108,130,23.17,22.42,20.55,19.94,8.7,8.8,59.1,58.2,19,15,2366.5,2975.3,86.5,83.1,9.8,9.8,4.6,4.9,69,68.6,1.176,1.17,9.34,9.25
Erisman,H69.A22,194,197,90,95,20.41,19.55,19.45,17.98,9.8,9.9,64.8,64,15,15,2647.1,2622.1,102.1,101.5,9.5,9.7,4.8,4.7,69.7,69.9,1.282,1.29,9.82,9.87
Erisman,NG10.S7,231,215,112,106,22.28,22.09,19.53,19.99,11.8,13.7,48,41.6,19,21,2494.7,2455.8,76.1,71.1,9.5,9.5,4.2,4,69.8,70,1.207,1.213,9.49,9.48
Buxton,P31.A22,241,220,90,95,25.6,21.92,23.56,20.53,9.3,9.4,63.6,64.1,24,34,3996,4892,89.6,88.1,8.9,8.8,4.5,4.5,70.7,70.8,1.277,1.288,9.88,9.92
Buxton,H69.A22,258,270,124,126,24.5,24.93,22.9,23.88,9.7,9.4,65.4,65.9,15,19,3419,3812,93.2,108.8,9.8,9.6,4.8,4.7,69.5,69.8,1.292,1.283,9.83,9.78
Buxton,461.2B24,265,245,109,114,20.32,23.39,17.69,21.45,9.2,9.4,60.2,59.3,20,27,4393,2967,81,78,11.2,10.9,4.5,4.7,68,67.9,1.204,1.194,9.26,9.2
Buxton,17.461,252,232,121,106,28.33,21.24,25.2,18.33,8.2,8.6,58.4,57.4,24,11,3322,2203,95.3,91.9,10.7,11,4.6,4.5,68,68,1.137,1.151,9.27,9.3
Buxton,NG10.S7,280,267,143,125,24.3,24.15,21.93,23.41,8.4,9,60.6,59.7,28,23,4210.8,3234.1,83.3,82.1,9.5,9.4,4.4,4.1,69.6,70.1,1.216,1.222,9.47,9.55
Buxton,59R5,292,285,138,139,25.78,27.15,22.1,23.27,9.3,9.5,63.8,64.9,26,26,4371,5215,79.4,71.4,7.3,7.6,3.4,3.4,73.1,72.9,1.265,1.281,9.92,9.98
Buxton,F34.A22,246,240,121,110,23.68,21.19,19.62,17.85,9.3,9.3,62.3,63.1,24,22,4396,4216,84.7,95.9,7.5,7.6,3.7,3.9,72.5,72.2,1.263,1.274,9.82,9.86
Buxton,17.2B24,251,247,135,127,25.91,25.51,22.94,22.62,8.7,9,57.8,57.5,27,30,4373,4147,77.8,78.7,8.5,8.4,5.1,5,69.3,69.5,1.162,1.158,9.24,9.21
Gray,17.461,230,242,105,130,21.7,22.25,19.33,20.03,8.4,8.6,55.9,56.2,29,30,2352.3,2286.7,57.9,61.3,7,6.9,5.2,5.1,70.7,70.7,1.147,1.135,9.45,9.39
Gray,P31.A22,230,220,107,90,23.35,23,22.72,21.03,9.5,9.6,62.5,62.2,26,22,2166,2620,74.9,66.6,6.5,6.6,4.2,4.1,73,73,1.255,1.257,10,10.01
Gray,NG10.S7,190,190,107,70,19.72,17.35,17.71,14.83,7.9,8.1,54.2,53.9,23,19,910.8,1115.8,51.4,53.6,6.9,6.6,4.3,4,71.9,72.6,1.166,1.174,9.61,9.72
Gray,H69.A22,221,233,95,100,23.36,23.86,21.09,22.55,9.7,9.2,62.9,64.4,23,19,2383.8,2333.5,85.4,81.7,6.3,6.4,4.6,4.4,72.4,72.8,1.234,1.247,9.87,9.96
Gray,17.2B24,217,223,108,143,23.41,22.17,21.27,19.66,8.6,9.1,54.9,54,28,29,2418.2,2550.8,55.3,57.8,6.3,6.3,4.7,4.8,72,71.8,1.155,1.15,9.59,9.55
Gray,F34.A22,175,168,85,82,19.45,17.82,18.09,16.18,9.4,9.1,58.4,59.7,29,29,560.8,672.4,62.8,68.4,6.9,7.3,4.1,4.4,72.6,72.1,1.242,1.243,9.92,9.9
Gray,461.2B24,234,255,114,131,20.68,21.08,19.19,19.74,8.6,8.8,57.2,57,27,25,2309,2000.2,65.3,69.6,7.8,7.6,4.7,4.9,70.9,70.5,1.162,1.143,9.5,9.38
Gray,59R5,227,233,100,115,18.5,18.86,15.44,16.83,8.5,8.9,56.8,58,26,30,2561.9,1721.3,56.7,63.5,6.1,6.1,3.4,3.4,73.8,73.7,1.201,1.196,9.82,9.77
Wilken,P31.A22,206,201,88,85,17.99,18.07,16.31,17.14,9.1,9.1,63,64.5,30,29,2379,2345,78.7,77.2,7.5,7.6,4.2,4.3,72.2,72,1.272,1.271,10.07,10.05
Wilken,H69.A22,215,220,90,88,21.3,22.07,19.98,20.59,9.3,9.1,61.9,62.3,22,27,1548,1792,70.3,78.1,7.7,7.9,4.3,4.3,71.8,71.7,1.272,1.28,9.97,10.03
Wilken,461.2B24,223,205,105,104,18.45,20.96,17.08,18.76,8.9,8.9,57.6,57.1,23,34,994,1818,69.6,69.7,9.1,9.2,4.6,4.7,69.8,69.5,1.185,1.184,9.58,9.56
Wilken,17.2B24,215,223,114,103,20.58,20.64,19.37,17.01,9,9.2,56.8,56.1,30,36,2510,3613,64.4,68,7.5,7.4,4.7,4.9,70.9,70.6,1.163,1.144,9.56,9.47
Wilken,17.461,227,233,124,121,18.7,19.27,17.14,17.52,8.8,9.2,56.8,55.3,32,33,2130,2077,64.9,62.3,7.4,7.5,4.9,5,70.5,70.5,1.141,1.146,9.45,9.5
Wilken,59R5,234,218,111,91,20.72,16.47,17.02,15.18,9.2,9.6,61.7,60.5,30,34,3631,2079,77.8,71.4,6.8,6.6,3.5,3.5,73.3,73.5,1.24,1.229,9.96,9.91
Wilken,NG10.S7,230,197,110,82,15.46,14.58,14.34,13.86,9,8.8,58.3,57.8,29,32,2925,2535,71.2,62.5,7.7,7.5,4.1,4,71.6,71.8,1.199,1.188,9.66,9.65
Wilken,F34.A22,229,227,119,99,22.19,21.58,18.72,19.44,9.9,9.5,61.3,62.1,34,34,3019,3059,63.6,71.4,7,7,4.2,4.1,72.6,72.7,1.263,1.261,10.04,10.02
Gruver,59R5,252,241,121,115,19.1,18.32,16.62,16.94,10.5,10.4,51.9,51.5,27,28,3798,3869,74.5,69.4,7.9,8.1,3.2,3.3,72.9,72.7,1.275,1.285,10.02,10.07
Gruver,17.2B24,214,220,102,110,22.56,22.5,20.39,19.7,8.4,8.2,51.6,52.8,24,27,2757,2537,73.9,66.8,8.8,8.6,4.5,4.4,69.9,70.1,1.17,1.162,9.48,9.45
Gruver,P31.A22,201,208,80,98,20.94,21.07,18.93,18.57,9.7,10.6,54.3,52.2,25,23,2696,2576,74.5,75.2,8.6,8.4,4.3,4.7,71,70.8,1.255,1.259,9.87,9.9
Gruver,461.2B24,190,197,70,95,24.62,19.4,20.75,15.68,8.9,9.8,50.7,48,20,27,1807,2610,68.7,60.5,9.4,9.4,4.8,4.9,69.3,69.2,1.207,1.209,9.57,9.6
Gruver,H69.A22,228,220,102,107,22.36,19.71,20.41,17.19,9.2,8.5,54.9,57.3,26,23,3135,2553,71.5,66.6,8.9,8.8,4.7,4.4,70.1,70.6,1.244,1.238,9.76,9.77
Gruver,F34.A22,227,227,100,86,26.28,21.48,24.32,19.51,8.7,9,57,58.1,19,25,3103,2425,78.6,71.9,8.7,8.7,4.6,4.4,70.6,70.9,1.266,1.281,9.87,9.96
Gruver,NG10.S7,221,226,96,105,20.02,21.61,17.68,19.43,8.6,8.2,56.3,56.1,27,24,2946,2045,65.4,69.5,8.3,8.3,4.5,4.4,71.1,71.2,1.258,1.273,9.9,9.96
Gruver,17.461,215,230,81,105,21.77,19.04,19.14,17.39,9,8.6,53.7,55.1,23,27,2443,2659,62.8,71.7,8.9,9,4.3,4.5,70.6,70.4,1.251,1.252,9.82,9.84
Gruver,59R5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Gruver,59R5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Ambriole,F34.A22,225,225,116,95,19.49,21.28,16.52,20.25,12.1,12.2,55.7,55.6,.,.,4082.4,.,75.7,.,8.5,8.4,4.3,4.3,71.3,71.2,1.296,1.285,9.94,9.91
Ambriole,17.461,230,234,116,116,19.51,17.15,17.63,14.8,9.4,8.4,50.4,54,.,.,3198.2,.,69,.,9.1,8.8,4.5,4.5,69.4,69.7,1.161,1.154,9.21,9.21
Ambriole,P31.A22,199,195,92,90,15.87,20.86,15.18,19.25,12.9,13.2,56.8,56,.,.,3222.5,.,84.1,.,8.9,8.6,4.4,4.2,71,71.2,1.292,1.278,9.95,9.86
Ambriole,NG10.S7,230,220,94,85,17.45,18.16,15.81,16.02,7.9,8.5,56.3,55.5,.,.,2981.7,.,67.7,.,8.6,8.4,3.8,3.7,71.1,71.3,1.211,1.207,9.53,9.5
Ambriole,17.2B24,236,224,125,100,17.52,19.81,15.9,17.38,10,10.1,51.1,50.5,.,.,3403.4,.,60.2,.,8.3,8.2,4.6,4.5,70.2,70.4,1.156,1.152,9.3,9.33
Ambriole,59R5,240,230,113,97,21.62,19.07,18.61,17.48,10.7,9.8,56.4,59.6,.,.,3393.7,.,81.4,.,7,6.9,3.2,3.1,73.4,73.7,1.255,1.249,9.83,9.85
Ambriole,461.2B24,245,241,122,107,17.2,18.16,15.08,16.76,10.7,9.1,48.2,50.9,.,.,2320.3,.,68.3,.,9.6,9.5,4.6,4.6,69.2,69.1,1.171,1.158,9.27,9.24
Ambriole,H69.A22,235,250,142,121,17.4,20.99,16.87,19.26,11.9,13.4,59.4,55.5,.,.,3013.6,.,88.4,.,8.3,8.2,4.4,4.4,71.3,71.3,1.281,1.281,9.87,9.83
