EXP,YR,FAR,FC,STATE,HYB,CODE,NOP1,NOP2,PHT1,PHT2,EHT1,EHT2,SDL1,SDL2,SDS1,SDS2,MST1,MST2,TWT1,TWT2,KWT3001,KWT3002,GWT1,GWT2,PRO1,PRO2,OIL1,OIL2,STA1,STA2,DEN1,DEN2,FIB1,FIB2,CEC,pH,OM,EstNRel,Su,P,Ca,Mg,K,Na
OREI_STRIPS_TRIAL,2019,Smith,AS,ILLINOIS,PHHB9*PHM49,UIUC1,27,20,214,212,80.33333333,85,19.40333333,19.68,17.58,17.495,7.4,8.2,63.2,62.1,81,81,2846.5,2558.2,7.2,7.2,3.1,3.1,73.8,73.8,1.25,1.25,10,10,21.275,7.1,2.455,69,9,32,3051,553,140.5,32
OREI_STRIPS_TRIAL,2019,Smith,AS,ILLINOIS,59R5,Check1,27,28,225.3333333,213,81.33333333,84.5,20.63,20.17,18.94666667,18.12,7.6,8,64.2,62.4,67,67,2993.9,2531.5,7.8,7.8,2.8,2.8,74.1,74.1,1.296,1.296,10.2,10.2,20.915,7.15,2.4,68,8,42,3096.5,487,137,31
OREI_STRIPS_TRIAL,2019,Smith,AS,ILLINOIS,PHW52*LH185,UIUC7,23,16,229.6666667,234.5,93.33333333,86.5,19.75,19.635,18.04333333,18.215,7.5,7.8,61.3,60.8,76,76,2170.6,852.9,9.1,9.1,3.2,3.2,72.5,72.5,1.301,1.301,10.05,10.05,20.295,7.15,2.475,69.5,7.5,35.5,3032.5,457,127.5,30.5
OREI_STRIPS_TRIAL,2019,Smith,AS,ILLINOIS,PHHB9*PHW30,UIUC3,27,29,223.3333333,209.5,102.6666667,103,20.77333333,22.885,19.05,20.83,7.8,8.4,60.7,60.1,65,65,2671.8,2714.1,8.3,8.3,3.2,3.2,73,73,1.29,1.29,10.03,10.03,20.05,7.2,2.33,67,7,27.5,2970.5,473,112,29.5
OREI_STRIPS_TRIAL,2019,Smith,AS,ILLINOIS,17.461,ORG1,25,21,220.6666667,216,103,98.5,19.70333333,19.2,18.75,17.575,7.1,6.5,56.1,57.5,80,80,2847.7,3113.1,9.2,9.2,4.4,4.4,70,70,1.147,1.147,9.52,9.52,21.425,7.15,2.625,72.5,11,40,3144.5,512,150,31.5
OREI_STRIPS_TRIAL,2019,Smith,AS,ILLINOIS,PHHB9*PHR63,UIUC2,32,27,213.3333333,203,106.3333333,100,23.83333333,24.3,21.58333333,22.47,8.4,8.1,61.2,62,74,74,4313.2,3771.3,8.2,8.2,3.2,3.2,73,73,1.285,1.285,10.04,10.04,26.695,6.8,2.655,73,8.5,33.5,3705.5,670,150,32.5
OREI_STRIPS_TRIAL,2019,Smith,AS,ILLINOIS,17.2B241,ORG4,27,24,257.3333333,253.5,105.6666667,109,21.80666667,21.85,20.57333333,20.21,7.9,7.1,55.7,57.6,67,67,3654.1,3341,8.9,8.9,4.7,4.7,69.8,69.8,1.151,1.151,9.53,9.53,22.605,6.95,2.91,77.5,8.5,47,3293,527,167,31
OREI_STRIPS_TRIAL,2019,Smith,AS,ILLINOIS,PHHB9*PHZ51,UIUC4,29,23,247,242,110.3333333,116,23.80333333,24.675,21.55666667,23.145,7.9,7.2,61.4,60.4,92,92,3211.4,2468.1,10.7,10.7,3.4,3.4,70.8,70.8,1.297,1.297,9.91,9.91,25.56,6.9,3.02,80,9,64,3844,498,207,28
OREI_STRIPS_TRIAL,2019,Ambriole,AA1,INDIANA,PHHB9*PHM49,UIUC1,26,24,238,230,111.3333333,108.5,22.59,21.95,20.30333333,19.405,9.4,9.3,62.5,63.9,77,77,3619.4,3243.2,7.6,7.6,3.6,3.6,73,73,1.273,1.273,10.08,10.08,14.165,6.7,3.15,79,16,119.5,2101.5,201,161.5,28.5
OREI_STRIPS_TRIAL,2019,Ambriole,AA1,INDIANA,PHW52*LH185,UIUC7,27,28,234,214,111,103,21.87666667,22.63,19.72333333,20.605,8.8,8.2,62.9,64.6,66,66,3058,3587.4,9.3,9.3,3.6,3.6,71.9,71.9,1.327,1.327,10.14,10.14,15.845,6.35,2.965,77.5,17.5,131.5,2205.5,218,177.5,29.5
OREI_STRIPS_TRIAL,2019,Ambriole,AA1,INDIANA,17.461,ORG1,27,25,209.3333333,215,96.33333333,107,19.84333333,17.555,17.82333333,15.445,7.9,7.9,57.4,57.6,87,87,3672.8,3470.9,8.7,8.7,4.6,4.6,70,70,1.138,1.138,9.45,9.45,14.995,6.3,2.885,76,15,80,2044.5,216.5,183.5,25
OREI_STRIPS_TRIAL,2019,Ambriole,AA1,INDIANA,PHHB9*PHZ51,UIUC4,25,25,229.6666667,224,114.3333333,123,19.38666667,18.995,17.45333333,17.4,9.2,9.4,63,61.5,84,84,3833.7,3399.4,8.2,8.2,3.5,3.5,72.5,72.5,1.279,1.279,9.98,9.98,15.645,6.7,2.705,73,15,124,2229,301,145.5,27.5
OREI_STRIPS_TRIAL,2019,Ambriole,AA1,INDIANA,59R5,Check1,23,25,229.3333333,242.5,114.3333333,113,22.97333333,22.865,20.61,20.86,9.7,9.2,63.5,62.5,73,73,3486.8,3325.4,7.4,7.4,3.2,3.2,73.6,73.6,1.269,1.269,10.04,10.04,15.655,6.55,3.115,81,15,103.5,2228,234,192,26.5
OREI_STRIPS_TRIAL,2019,Ambriole,AA1,INDIANA,17.2B241,ORG4,20,24,244.3333333,244.5,114.6666667,118,22.46666667,22.77,20.42333333,20.76,8.7,9.8,58.8,55.9,67,67,2860.3,2446.5,8.3,8.3,4.9,4.9,70,70,1.135,1.135,9.42,9.42,14.53,6.2,2.745,74.5,13.5,80.5,1929.5,182,180,23
OREI_STRIPS_TRIAL,2019,Ambriole,AA1,INDIANA,PHHB9*PHW30,UIUC3,31,26,226.6666667,228,108.6666667,119,20.70333333,22.545,19.99666667,19.68,8.8,9.1,62.9,61.7,65,65,3238.2,3500,8,8,3.6,3.6,72.9,72.9,1.302,1.302,10.12,10.12,14.93,5.95,2.87,77.5,15.5,100.5,1913,182,166.5,24.5
OREI_STRIPS_TRIAL,2019,Ambriole,AA1,INDIANA,PHHB9*PHR63,UIUC2,25,22,231,225,116.3333333,104.5,21.69,23.415,20.07,20.38,9.1,9.4,63.8,63.1,78,78,2607.7,2960.1,8.2,8.2,3.7,3.7,72.5,72.5,1.288,1.288,10.05,10.05,13.835,6,2.315,66.5,15,105,1726.5,170,151,25
OREI_STRIPS_TRIAL,2019,Longwell,DL,INDIANA,PHW52*LH185,UIUC7,20,26,237.3333333,243.5,101.6666667,106,24.28333333,25.25,22.50666667,23.53,8.5,8.3,63.2,63.1,55,55,2259.3,2879.3,8.3,8.3,3.5,3.5,72.7,72.7,1.297,1.297,10.07,10.07,12.675,6.65,2.25,65,14,76,1672,296,163.5,36.5
OREI_STRIPS_TRIAL,2019,Longwell,DL,INDIANA,17.461,ORG1,20,21,212,224.5,108,122.5,21.73666667,23.545,19.31333333,21.295,7.8,7.8,55.7,55.3,66,66,2414.8,1983.8,8.1,8.1,4.7,4.7,70.6,70.6,1.137,1.137,9.58,9.58,12.795,6.5,2.235,64.5,12.5,65,1649,299.5,139.5,25.5
OREI_STRIPS_TRIAL,2019,Longwell,DL,INDIANA,PHHB9*PHZ51,UIUC4,26,25,262.6666667,259,109.6666667,102,22.23666667,22.595,20.28333333,20.845,8.9,8.1,61.3,60.6,71,71,3244.6,3841,7.6,7.6,3.3,3.3,73.2,73.2,1.26,1.26,10,10,11.2,7,2.195,64,11.5,78,1534,298.5,176.5,22
