EXP,YR,FAR,FC,STATE,HYB,CODE,REP,NOP,PHT,EHT,SDL,SDS,MST,TWT,KWT300,GWT,PRO,OIL,STA,DEN,FIB,CEC,pH,OM,EstNRel,Su,P,Ca,Mg,K,Na
OREI_STRIPS_TRIAL,2019,Smith,AS,ILLINOIS,PHHB9*PHM49,UIUC1,1,27,214,80.33333333,19.40333333,17.58,7.4,63.2,81,2846.5,7.2,3.1,73.8,1.25,10,21.275,7.1,2.455,69,9,32,3051,553,140.5,32
OREI_STRIPS_TRIAL,2019,Smith,AS,ILLINOIS,59R5,Check1,1,27,225.3333333,81.33333333,20.63,18.94666667,7.6,64.2,67,2993.9,7.8,2.8,74.1,1.296,10.2,20.915,7.15,2.4,68,8,42,3096.5,487,137,31
OREI_STRIPS_TRIAL,2019,Smith,AS,ILLINOIS,PHW52*LH185,UIUC7,1,23,229.6666667,93.33333333,19.75,18.04333333,7.5,61.3,76,2170.6,9.1,3.2,72.5,1.301,10.05,20.295,7.15,2.475,69.5,7.5,35.5,3032.5,457,127.5,30.5
OREI_STRIPS_TRIAL,2019,Smith,AS,ILLINOIS,PHHB9*PHW30,UIUC3,1,27,223.3333333,102.6666667,20.77333333,19.05,7.8,60.7,65,2671.8,8.3,3.2,73,1.29,10.03,20.05,7.2,2.33,67,7,27.5,2970.5,473,112,29.5
OREI_STRIPS_TRIAL,2019,Smith,AS,ILLINOIS,17.461,ORG1,1,25,220.6666667,103,19.70333333,18.75,7.1,56.1,80,2847.7,9.2,4.4,70,1.147,9.52,21.425,7.15,2.625,72.5,11,40,3144.5,512,150,31.5
OREI_STRIPS_TRIAL,2019,Smith,AS,ILLINOIS,PHHB9*PHR63,UIUC2,1,32,213.3333333,106.3333333,23.83333333,21.58333333,8.4,61.2,74,4313.2,8.2,3.2,73,1.285,10.04,26.695,6.8,2.655,73,8.5,33.5,3705.5,670,150,32.5
OREI_STRIPS_TRIAL,2019,Smith,AS,ILLINOIS,17.2B241,ORG4,1,27,257.3333333,105.6666667,21.80666667,20.57333333,7.9,55.7,67,3654.1,8.9,4.7,69.8,1.151,9.53,22.605,6.95,2.91,77.5,8.5,47,3293,527,167,31
OREI_STRIPS_TRIAL,2019,Smith,AS,ILLINOIS,PHHB9*PHZ51,UIUC4,1,29,247,110.3333333,23.80333333,21.55666667,7.9,61.4,92,3211.4,10.7,3.4,70.8,1.297,9.91,25.56,6.9,3.02,80,9,64,3844,498,207,28
OREI_STRIPS_TRIAL,2019,Ambriole,AA1,INDIANA,PHHB9*PHM49,UIUC1,1,26,238,111.3333333,22.59,20.30333333,9.4,62.5,77,3619.4,7.6,3.6,73,1.273,10.08,14.165,6.7,3.15,79,16,119.5,2101.5,201,161.5,28.5
OREI_STRIPS_TRIAL,2019,Ambriole,AA1,INDIANA,PHW52*LH185,UIUC7,1,27,234,111,21.87666667,19.72333333,8.8,62.9,66,3058,9.3,3.6,71.9,1.327,10.14,15.845,6.35,2.965,77.5,17.5,131.5,2205.5,218,177.5,29.5
OREI_STRIPS_TRIAL,2019,Ambriole,AA1,INDIANA,17.461,ORG1,1,27,209.3333333,96.33333333,19.84333333,17.82333333,7.9,57.4,87,3672.8,8.7,4.6,70,1.138,9.45,14.995,6.3,2.885,76,15,80,2044.5,216.5,183.5,25
