ENV,STATE,CITY,PED,FAR,FC,HYB,YEAR,REP,FS,CC,WRT,Density,CI,CD,PER,PHT,EHT,SDL,SDS,TWT,KWT300,YIELD,PRO,OIL,STA,DEN,FIB,CEC,pH,OM,EstNRel,Su,P,Ca,Mg,K,Na,SOC,TN,SoilCN,InorgN,Bray1P,POMC,POMN,POMCN,PMN,POXC,Sand,Silt,Clay,prcp_May,prcp_Jun,prcp_Jul,prcp_Aug,prcp_Sep,tmax_May,tmax_Jun,tmax_Jul,tmax_Aug,tmax_Sep,tmin_May,tmin_Jun,tmin_Jul,tmin_Aug,tmin_Sep,temp_May,temp_Jun,temp_Jul,temp_Aug,temp_Sep,GDD_May,GDD_Jun,GDD_Jul,GDD_Aug,GDD_Sep
Ambriole2018,INDIANA,Tri-Lakes,17.461,Ambriole,AA,ORG1,2018,1,Mix,Mixed,Moderate,Low,High,High,Absent,230,116,19.51,17.63,50.4,69,135,9.1,4.5,69.4,1.161,9.21,14.8,5.9,3.49,85,14,66,1729,242,217,20,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,92.72,143.68,115.54,206.17,45.72,79.15941935,81.2672,82.95451613,82.38316129,78.1208,54.29619355,62.2964,62.44554839,62.97625806,58.0604,66.72780645,71.7818,72.70003226,72.67970968,68.0906,505.746,638.622,688.14,696.591,528.156
Ambriole2018,INDIANA,Tri-Lakes,17.2B24,Ambriole,AA,ORG4,2018,1,Mix,Mixed,Moderate,Low,High,High,Absent,236,125,17.52,15.9,51.1,60.2,142.7,8.3,4.6,70.2,1.156,9.3,14.8,5.9,3.49,85,14,66,1729,242,217,20,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,92.72,143.68,115.54,206.17,45.72,79.15941935,81.2672,82.95451613,82.38316129,78.1208,54.29619355,62.2964,62.44554839,62.97625806,58.0604,66.72780645,71.7818,72.70003226,72.67970968,68.0906,505.746,638.622,688.14,696.591,528.156
Ambriole2018,INDIANA,Tri-Lakes,461.2B24,Ambriole,AA,ORG2,2018,1,Mix,Mixed,Moderate,Low,High,High,Absent,245,122,17.2,15.08,48.2,68.3,96.5,9.6,4.6,69.2,1.171,9.27,14.93,6.5,3.86,89,12,34,2065,280,125,23,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,92.72,143.68,115.54,206.17,45.72,79.15941935,81.2672,82.95451613,82.38316129,78.1208,54.29619355,62.2964,62.44554839,62.97625806,58.0604,66.72780645,71.7818,72.70003226,72.67970968,68.0906,505.746,638.622,688.14,696.591,528.156
Ambriole2018,INDIANA,Tri-Lakes,59R5,Ambriole,AA,CHECK1,2018,1,Mix,Mixed,Moderate,Low,High,High,Absent,240,113,21.62,18.61,56.4,81.4,141.2,7,3.2,73.4,1.255,9.83,14.93,6.5,3.86,89,12,34,2065,280,125,23,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,92.72,143.68,115.54,206.17,45.72,79.15941935,81.2672,82.95451613,82.38316129,78.1208,54.29619355,62.2964,62.44554839,62.97625806,58.0604,66.72780645,71.7818,72.70003226,72.67970968,68.0906,505.746,638.622,688.14,696.591,528.156
Ambriole2018,INDIANA,Tri-Lakes,F34.A22,Ambriole,AA,KEV1,2018,1,Mix,Mixed,Moderate,Low,High,High,Absent,225,116,19.49,16.52,55.7,75.7,167.2,8.5,4.3,71.3,1.296,9.94,11.9,6.3,3.11,81,13,40,1519,226,188,20,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,92.72,143.68,115.54,206.17,45.72,79.15941935,81.2672,82.95451613,82.38316129,78.1208,54.29619355,62.2964,62.44554839,62.97625806,58.0604,66.72780645,71.7818,72.70003226,72.67970968,68.0906,505.746,638.622,688.14,696.591,528.156
Ambriole2018,INDIANA,Tri-Lakes,H69.A22,Ambriole,AA,KEV2,2018,1,Mix,Mixed,Moderate,Low,High,High,Absent,235,142,17.4,16.87,59.4,88.4,123.7,8.3,4.4,71.3,1.281,9.87,11.9,6.3,3.11,81,13,40,1519,226,188,20,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,92.72,143.68,115.54,206.17,45.72,79.15941935,81.2672,82.95451613,82.38316129,78.1208,54.29619355,62.2964,62.44554839,62.97625806,58.0604,66.72780645,71.7818,72.70003226,72.67970968,68.0906,505.746,638.622,688.14,696.591,528.156
Ambriole2018,INDIANA,Tri-Lakes,NG10.S7,Ambriole,AA,ORG5,2018,1,Mix,Mixed,Moderate,Low,High,High,Absent,230,94,17.45,15.81,56.3,67.7,127.9,8.6,3.8,71.1,1.211,9.53,13.84,6.1,3.56,86,13,58,1715,254,189,18,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,92.72,143.68,115.54,206.17,45.72,79.15941935,81.2672,82.95451613,82.38316129,78.1208,54.29619355,62.2964,62.44554839,62.97625806,58.0604,66.72780645,71.7818,72.70003226,72.67970968,68.0906,505.746,638.622,688.14,696.591,528.156
Ambriole2018,INDIANA,Tri-Lakes,P31.A22,Ambriole,AA,KEV3,2018,1,Mix,Mixed,Moderate,Low,High,High,Absent,199,92,15.87,15.18,56.8,84.1,130.8,8.9,4.4,71,1.292,9.95,13.84,6.1,3.56,86,13,58,1715,254,189,18,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,92.72,143.68,115.54,206.17,45.72,79.15941935,81.2672,82.95451613,82.38316129,78.1208,54.29619355,62.2964,62.44554839,62.97625806,58.0604,66.72780645,71.7818,72.70003226,72.67970968,68.0906,505.746,638.622,688.14,696.591,528.156
Ambriole2018,INDIANA,Tri-Lakes,17.461,Ambriole,AA,ORG1,2018,2,Mix,Mixed,Moderate,Low,High,High,Absent,234,116,17.15,14.8,54,69,136.5,8.8,4.5,69.7,1.154,9.21,14.18,5.9,3.37,84,15,62,1621,256,199,20,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,92.72,143.68,115.54,206.17,45.72,79.15941935,81.2672,82.95451613,82.38316129,78.1208,54.29619355,62.2964,62.44554839,62.97625806,58.0604,66.72780645,71.7818,72.70003226,72.67970968,68.0906,505.746,638.622,688.14,696.591,528.156
Ambriole2018,INDIANA,Tri-Lakes,17.2B24,Ambriole,AA,ORG4,2018,2,Mix,Mixed,Moderate,Low,High,High,Absent,224,100,19.81,17.38,50.5,60.2,142.5,8.2,4.5,70.4,1.152,9.33,14.18,5.9,3.37,84,15,62,1621,256,199,20,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,92.72,143.68,115.54,206.17,45.72,79.15941935,81.2672,82.95451613,82.38316129,78.1208,54.29619355,62.2964,62.44554839,62.97625806,58.0604,66.72780645,71.7818,72.70003226,72.67970968,68.0906,505.746,638.622,688.14,696.591,528.156
