"","FAR","PHT","EHT","SDL","SDS","TWT","KWT300","YIELD","PRO","OIL","STA"
"1","Ambriole",215.6,100.5,20.5,18.6,10.9,77.7,8.7,8.2,4.1,69.4
"2","Bryan",218.3,107.9,21.4,19.7,12.7,87.9,10.2,8.7,3.9,69.4
"3","Buxton",251.6,114.4,24.7,22.3,14.4,90.9,11.5,9,4,68.7
"4","Doonan",222.6,110.2,19.8,17.6,9.3,79.3,7.4,7.7,3.9,70.5
"5","Erisman",229.2,109.4,23.4,21.4,11.2,89.7,9,8.8,4.1,68.9
"6","Glazik",225.9,110.8,21.3,19.2,9.8,77.7,7.9,7.8,4,69.9
"7","Gray",222,105.4,21.8,19.9,8.5,71.1,6.8,6.9,4.1,70.4
"8","Gruver",231.1,102.6,21.3,19.1,11.7,77.8,9.4,8.2,4.1,69.5
"9","Longwell",244.2,113.9,22.3,20.1,11.1,67.7,8.9,7.7,4,69.9
"10","Smith",252.4,114.7,21.4,19.5,11.7,78.3,9.3,8,4,69.9
"11","Steiner",241.8,113.2,23.6,21.3,12.3,74.3,9.8,8.1,4.1,69.5
"12","Wilken",224.6,101.9,20.8,18.8,10.3,78.3,8.2,8.2,4,69.6
