HYB,PHT,EHT,SDL,SDS,TWT,KWT300,YIELD,PRO,OIL,STA
CHECK1,240.4,109.8,21.9,19.6,12.3,79.4,9.8,7.5,3.3,71.1
KEV1,224.8,108.3,21.9,19.8,11,79.3,8.8,7.9,4.1,69.9
KEV2,231,108.9,21.9,20.1,10.4,86.2,8.3,8.4,4.4,69.1
KEV3,220.4,104.9,21.8,19.9,11.1,82.3,8.9,8,4.3,69.7
ORG1,224.9,108.4,21.8,19.6,10.1,78.8,8.1,8.5,4.7,68.2
ORG2,232.6,109.5,21.9,19.7,9.9,76.4,7.9,9.1,4.6,67.5
ORG4,225.8,112.2,21.9,19.8,10.8,74.3,8.6,8.2,4.9,68.2
ORG5,228.2,107.5,21.8,19.4,10.3,74.5,8.2,8.3,4.1,69.2
UIUC1,228.1,105.8,21.8,19.7,11.8,79.6,9.4,7.8,3.5,70.7
UIUC2,231.9,109.6,22,20.1,12.2,78.7,9.7,7.7,3.5,70.7
UIUC3,240.9,110,21.9,19.8,12.4,80.4,9.9,8,3.4,70.5
UIUC4,249.6,111.7,21.8,19.7,12.3,82.9,9.8,7.9,3.6,70.5
UIUC7,232.1,107,21.9,19.9,10.4,77.1,8.3,8.2,3.7,70
