"","Min","Max","Mean","Median","SE"
"PHT",162,323.6666667,232.027322232738,232.027322232738,8.46501169515881
"EHT",57.66666667,163,108.325431675369,108.325431675369,5.4350138638249
"SDL",14.58,28.59,21.421017690794,21.421017690794,0.635405336573548
"SDS",13.86,24.76,19.3431314575479,19.3431314575479,0.578175640266994
"TWT",48.2,66.7,59.6252279635258,59.6252279635258,1.17125383721457
"KWT300",51.4,112,77.7535189463019,77.7535189463019,3.31873119984595
"YIELD",23.7,219.9,132.202431610942,132.202431610942,11.904116909999
"PRO",5.81,10.2,7.88227963525836,7.88227963525836,0.292618742977851
"OIL",2.37,5.89,3.97437689969605,3.97437689969605,0.235989546885361
"y",63.32,75.37,69.8517021276596,69.8517021276596,1.02170425634898
