"","HYB","PHT","EHT","SDL","SDS","TWT","KWT300","YIELD","PRO","OIL","STA"
"1","CHECK2",228.9,108.7,20.8,18.7,11.2,84,9,6.8,3.9,68.6
"2","CHECK3",224.6,108,20.8,18.7,10.8,78.7,8.6,7,4,68.3
"3","ORG1",223.7,108.4,20.8,18.7,10.1,78.2,8,8.3,4.7,66.1
"4","ORG10",222.6,108.1,20.8,18.7,8.9,75.4,7.1,8.5,4.5,66.2
"5","ORG11",223.8,108.3,20.8,18.7,9.6,76.8,7.7,8.6,4.6,66.1
"6","ORG12",223.8,108.1,20.8,18.7,8.8,78.2,7,8.5,4.6,66.2
"7","ORG14",223.6,108.4,20.8,18.7,7.8,70.8,6.3,8.4,4.7,66
"8","ORG18",224.5,107.9,20.8,18.7,8.5,66.6,6.8,8.5,4.4,66.6
"9","ORG19",224.7,108.2,20.8,18.7,9.1,78,7.3,8,4.4,66.8
"10","ORG2",224.2,108.2,20.8,18.7,8.7,76.8,6.9,9.1,4.8,65.2
"11","ORG2_Inoc",223.3,108.1,20.8,18.7,8.6,79.4,6.9,8.7,4.7,65.8
"12","ORG20",223.1,108.4,20.8,18.7,8.9,76.3,7.1,8.6,4.8,65.7
"13","ORG21",223.4,108.1,20.8,18.7,8.8,76.7,7.1,8,4.8,66.2
"14","ORG22",222.9,108.5,20.8,18.7,9.6,77.3,7.7,8.2,4.9,65.8
"15","ORG23",225.3,108.3,20.8,18.7,9.4,76.6,7.6,8.5,4.5,66
"16","ORG24",222.6,108.1,20.8,18.7,8.3,76.4,6.6,8.6,4.9,65
"17","ORG25",223.6,108.1,20.8,18.7,8.7,76.2,6.9,7.9,4.8,66.2
"18","ORG3",223.8,108.2,20.8,18.7,8.7,75.4,6.9,8,4.7,66.3
"19","ORG4",223,107.9,20.8,18.7,9.5,74.1,7.6,7.5,4.8,66.8
"20","ORG8",223.5,108,20.8,18.7,6.3,75.8,5.1,9.6,4.6,64.8
"21","ORG9",222.8,108.1,20.8,18.7,7.5,72.4,6,7.9,4.7,66.8
