"","Management","Levels","PHT","groups_PHT","EHT","groups_EHT","SDL","groups_SDL","SDS","groups_SDS","TWT","groups_TWT","KWT300","groups_KWT300","PRO","groups_PRO","OIL","groups_OIL","STA","groups_STA"
"1","FS","Animal",226.909140567135,"a",110.570485486438,"a",21.4371493436356,"a",19.2362812092403,"a",6.89584642857143,"b",75.0586483673469,"b",6.96461142857143,"b",4.67347142857143,"a",61.9363142857143,"b"
"2","FS","Mix",223.27373788828,"b",107.732242723562,"b",20.7578835053051,"b",18.6230962796527,"c",10.7749169444444,"a",78.6963707977208,"a",8.59611111111111,"a",4.71611111111111,"a",67.4688888888889,"a"
"3","FS","Green",224.291549613588,"b",107.982297300273,"b",20.9236298747351,"b",18.8245382727477,"b",5.8453415,"b",66.9494133333333,"c",7.328,"b",4.624,"a",66.63,"a"
"4","CC","Legume",220.038017385097,"c",105.978187498566,"c",20.4812738429478,"c",18.4154832933032,"c",12.2138984375,"a",81.715625,"a",9.4921875,"a",4.596875,"bc",69.278125,"a"
"5","CC","Mixed",225.875121496585,"b",109.442252318622,"b",20.9720374597752,"b",18.772903046679,"b",9.15163519230769,"b",76.7293646942801,"b",7.73846153846154,"b",4.53615384615385,"c",65.7330769230769,"b"
"6","CC","Grass",220.194547050654,"c",105.441782039038,"c",20.6549520885845,"c",18.6717232081569,"b",5.40051342592593,"c",68.5196,"c",7.70968148148148,"b",5.09153703703704,"a",66.2285555555556,"b"
"7","Dens","Low",222.659353421307,"c",107.831899947088,"b",20.799808760325,"c",18.6465661747438,"c",9.41561273148148,"a",78.6953547652964,"a",7.97603148148148,"b",4.57890277777778,"b",65.4978796296296,"b"
"8","Dens","Medium",224.691364005044,"b",108.120019999266,"b",21.0108760287214,"b",18.9324712662814,"b",9.949632,"a",68.282,"b",8.9,"a",5.04,"a",69.31,"a"
"9","Dens","High",234.073576500431,"a",112.740033846208,"a",21.7617201494084,"a",19.5777079871458,"a",5.38845367647059,"b",69.2537107843137,"b",6.86470588235294,"c",4.88823529411765,"a",64.6588235294118,"b"
"10","CI","High",233.332422618013,"a",112.582243229736,"a",21.5865660528547,"a",19.442490349699,"a",10.3547977941176,"a",74.10061232493,"a",7.66470588235294,"b",4.93529411764706,"a",64.1411764705882,"b"
"11","CI","Medium",220.52472322075,"c",105.84594281993,"c",20.6624890133777,"c",18.575096173321,"c",10.0705272727273,"a",76.1701393939394,"a",8.81683939393939,"a",4.69350757575758,"ab",68.0904696969697,"a"
"12","CI","Low",225.708390344162,"b",109.935759830326,"b",21.0582774864422,"b",18.8579594168176,"b",7.70961679104478,"b",76.067489380023,"a",7.28955223880597,"b",4.62611940298507,"b",64.4977611940298,"b"
"13","CD","High",222.900454517177,"b",106.246799725996,"b",20.8337039569816,"b",18.7780299858835,"a",13.204207421875,"a",82.678125,"a",9.215625,"a",4.940625,"a",69.146875,"a"
"14","CD","Low",224.668902759194,"a",109.029904054414,"a",20.9739149385565,"a",18.8056356335812,"a",7.92115296610169,"b",74.0488254066555,"b",7.67552033898305,"b",4.62306355932203,"b",65.195093220339,"b"
"15","PER","Absent",228.654216480435,"a",110.589635386192,"a",21.3604270927369,"a",19.1122832126965,"a",7.41858786764706,"b",71.4462792016807,"b",7.30294117647059,"b",4.58529411764706,"a",64.7220588235294,"b"
"16","PER","Present",223.012945774136,"b",107.804988504502,"b",20.8219480018968,"b",18.708140819648,"b",9.52585086206897,"a",77.1921371131742,"a",8.20958103448276,"a",4.72173706896552,"a",66.4238879310345,"a"
