"","Min","Max","Mean","SE"
"PHT",210.009426469479,239.084999998058,224.291633800897,2.10122763657134
"EHT",99.8909404728233,115.627472219357,108.436175131018,1.23545359479398
"SDL",19.8101722224,22.2115375401071,20.9440032624872,0.197129869972914
"SDS",17.5514541663,20.0399533326667,18.799746428739,0.191068801079401
"TWT",0.454275,21.889325,9.04820458333333,1.55937599345212
"KWT300",47.9,102.2,75.8897426532357,3.3771845774026
"YIELD",0.36342,17.51146,7.23856366666667,1.2475007947617
"PRO",4.1,12.25,8.004076,0.553207157997919
"OIL",3,6.3,4.69081,0.198894164016609
"y",57.7,73.1,66.03814,1.47806361218014
