FAR,FC,HYB,YEAR,REP,FS,CC,WRT,Density,Rotation,CD,CEC,pH,OM,EstNRel,Su,P,Ca,Mg,K,Na,SOC,TN,SoilCN,InorgN,Bray1P,POMC,POMN,POMCN,PMN,POXC,Sand,Silt,Clay,Prcp,Tmax,Tmin,Temp,TGDD,YIELD,YD,MeanYD,SDYD,Zscore,R,Re
Ambriole,AA,ORG1,2018,1,Mix,Mixed,Moderate,Low,Extensive,High,14.8,5.9,3.49,85,14,66,1729,242,217,20,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,603.83,80.77701935,60.01496,70.39598968,3057.255,135,-7.7,-17.25882353,24.94937521,-0.691753737,0.244545997,Low
Ambriole,AA,ORG4,2018,1,Mix,Mixed,Moderate,Low,Extensive,High,14.8,5.9,3.49,85,14,66,1729,242,217,20,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,603.83,80.77701935,60.01496,70.39598968,3057.255,142.7,0,0,0,NA,NA,NA
Ambriole,AA,ORG2,2018,1,Mix,Mixed,Moderate,Low,Extensive,High,14.93,6.5,3.86,89,12,34,2065,280,125,23,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,603.83,80.77701935,60.01496,70.39598968,3057.255,96.5,-46.2,-29.17058824,27.18024937,-1.073227395,0.141584551,Low
Ambriole,AA,CHECK1,2018,1,Mix,Mixed,Moderate,Low,Extensive,High,14.93,6.5,3.86,89,12,34,2065,280,125,23,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,603.83,80.77701935,60.01496,70.39598968,3057.255,141.2,-1.5,25.04375,39.18344836,0.639141042,0.738634409,High
Ambriole,AA,KEV1,2018,1,Mix,Mixed,Moderate,Low,Extensive,High,11.9,6.3,3.11,81,13,40,1519,226,188,20,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,603.83,80.77701935,60.01496,70.39598968,3057.255,167.2,24.5,-6.883333333,38.67580482,-0.17797518,0.429371234,Low
Ambriole,AA,KEV2,2018,1,Mix,Mixed,Moderate,Low,Extensive,High,11.9,6.3,3.11,81,13,40,1519,226,188,20,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,603.83,80.77701935,60.01496,70.39598968,3057.255,123.7,-19,-18.125,25.48600775,-0.711174546,0.23848804,Low
Ambriole,AA,ORG5,2018,1,Mix,Mixed,Moderate,Low,Extensive,High,13.84,6.1,3.56,86,13,58,1715,254,189,18,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,603.83,80.77701935,60.01496,70.39598968,3057.255,127.9,-14.8,-22.16666667,25.9704144,-0.853535347,0.196681247,Low
Ambriole,AA,KEV3,2018,1,Mix,Mixed,Moderate,Low,Extensive,High,13.84,6.1,3.56,86,13,58,1715,254,189,18,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,603.83,80.77701935,60.01496,70.39598968,3057.255,130.8,-11.9,-4.108333333,22.34243652,-0.183880273,0.42705369,Low
Ambriole,AA,ORG1,2018,2,Mix,Mixed,Moderate,Low,Extensive,High,14.18,5.9,3.37,84,15,62,1621,256,199,20,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,603.83,80.77701935,60.01496,70.39598968,3057.255,136.5,-6,-17.25882353,24.94937521,-0.691753737,0.244545997,Low
Ambriole,AA,ORG4,2018,2,Mix,Mixed,Moderate,Low,Extensive,High,14.18,5.9,3.37,84,15,62,1621,256,199,20,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,603.83,80.77701935,60.01496,70.39598968,3057.255,142.5,0,0,0,NA,NA,NA
