ENV,STATE,CITY,PED,FAR,FC,HYB,YEAR,REP,FS,CC,WRT,Density,CI,CD,PER,YIELD
Ambriole2018,INDIANA,Tri-Lakes,17.461,Ambriole,AA,ORG1,2018,1,Mix,Mixed,Moderate,Low,High,High,Absent,135
Ambriole2018,INDIANA,Tri-Lakes,17.2B24,Ambriole,AA,ORG4,2018,1,Mix,Mixed,Moderate,Low,High,High,Absent,142.7
Ambriole2018,INDIANA,Tri-Lakes,461.2B24,Ambriole,AA,ORG2,2018,1,Mix,Mixed,Moderate,Low,High,High,Absent,96.5
Ambriole2018,INDIANA,Tri-Lakes,59R5,Ambriole,AA,CHECK1,2018,1,Mix,Mixed,Moderate,Low,High,High,Absent,141.2
Ambriole2018,INDIANA,Tri-Lakes,F34.A22,Ambriole,AA,KEV1,2018,1,Mix,Mixed,Moderate,Low,High,High,Absent,167.2
Ambriole2018,INDIANA,Tri-Lakes,H69.A22,Ambriole,AA,KEV2,2018,1,Mix,Mixed,Moderate,Low,High,High,Absent,123.7
Ambriole2018,INDIANA,Tri-Lakes,NG10.S7,Ambriole,AA,ORG5,2018,1,Mix,Mixed,Moderate,Low,High,High,Absent,127.9
Ambriole2018,INDIANA,Tri-Lakes,P31.A22,Ambriole,AA,KEV3,2018,1,Mix,Mixed,Moderate,Low,High,High,Absent,130.8
Ambriole2018,INDIANA,Tri-Lakes,17.461,Ambriole,AA,ORG1,2018,2,Mix,Mixed,Moderate,Low,High,High,Absent,136.5
Ambriole2018,INDIANA,Tri-Lakes,17.2B24,Ambriole,AA,ORG4,2018,2,Mix,Mixed,Moderate,Low,High,High,Absent,142.5
Ambriole2018,INDIANA,Tri-Lakes,461.2B24,Ambriole,AA,ORG2,2018,2,Mix,Mixed,Moderate,Low,High,High,Absent,98.3
Ambriole2018,INDIANA,Tri-Lakes,59R5,Ambriole,AA,CHECK1,2018,2,Mix,Mixed,Moderate,Low,High,High,Absent,142.6
Ambriole2018,INDIANA,Tri-Lakes,F34.A22,Ambriole,AA,KEV1,2018,2,Mix,Mixed,Moderate,Low,High,High,Absent,167
Ambriole2018,INDIANA,Tri-Lakes,H69.A22,Ambriole,AA,KEV2,2018,2,Mix,Mixed,Moderate,Low,High,High,Absent,121.6
Ambriole2018,INDIANA,Tri-Lakes,NG10.S7,Ambriole,AA,ORG5,2018,2,Mix,Mixed,Moderate,Low,High,High,Absent,127.1
Ambriole2018,INDIANA,Tri-Lakes,P31.A22,Ambriole,AA,KEV3,2018,2,Mix,Mixed,Moderate,Low,High,High,Absent,130.3
Buxton2018,ILLINOIS,Sullivan,17.461,Buxton,SB,ORG1,2018,1,Mix,Mixed,Low,Low,High,High,Absent,142.1
Buxton2018,ILLINOIS,Sullivan,17.2B24,Buxton,SB,ORG4,2018,1,Mix,Mixed,Low,Low,High,High,Absent,186
Buxton2018,ILLINOIS,Sullivan,461.2B24,Buxton,SB,ORG2,2018,1,Mix,Mixed,Low,Low,High,High,Absent,185.8
Buxton2018,ILLINOIS,Sullivan,59R5,Buxton,SB,CHECK1,2018,1,Mix,Mixed,Low,Low,High,High,Absent,184.7
Buxton2018,ILLINOIS,Sullivan,F34.A22,Buxton,SB,KEV1,2018,1,Mix,Mixed,Low,Low,High,High,Absent,185.8
Buxton2018,ILLINOIS,Sullivan,H69.A22,Buxton,SB,KEV2,2018,1,Mix,Mixed,Low,Low,High,High,Absent,143.8
Buxton2018,ILLINOIS,Sullivan,NG10.S7,Buxton,SB,ORG5,2018,1,Mix,Mixed,Low,Low,High,High,Absent,179.7
Buxton2018,ILLINOIS,Sullivan,P31.A22,Buxton,SB,KEV3,2018,1,Mix,Mixed,Low,Low,High,High,Absent,168.9
Buxton2018,ILLINOIS,Sullivan,17.461,Buxton,SB,ORG1,2018,2,Mix,Mixed,Low,Low,High,High,Absent,93.8
Buxton2018,ILLINOIS,Sullivan,17.2B24,Buxton,SB,ORG4,2018,2,Mix,Mixed,Low,Medium,High,High,Absent,175.8
Buxton2018,ILLINOIS,Sullivan,461.2B24,Buxton,SB,ORG2,2018,2,Mix,Mixed,Low,Low,High,High,Absent,125.2
Buxton2018,ILLINOIS,Sullivan,59R5,Buxton,SB,CHECK1,2018,2,Mix,Mixed,Low,Low,High,High,Absent,219.9
Buxton2018,ILLINOIS,Sullivan,F34.A22,Buxton,SB,KEV1,2018,2,Mix,Mixed,Low,Low,High,High,Absent,178.2
Buxton2018,ILLINOIS,Sullivan,H69.A22,Buxton,SB,KEV2,2018,2,Mix,Mixed,Low,Low,High,High,Absent,160.9
Buxton2018,ILLINOIS,Sullivan,NG10.S7,Buxton,SB,ORG5,2018,2,Mix,Mixed,Low,Low,High,High,Absent,137.1
Buxton2018,ILLINOIS,Sullivan,P31.A22,Buxton,SB,KEV3,2018,2,Mix,Mixed,Low,Medium,High,High,Absent,206.5
Erisman2018,ILLINOIS,Pana,17.461,Erisman,JE,ORG1,2018,1,Mix,Mixed,High,Low,Low,High,Present,82.7
Erisman2018,ILLINOIS,Pana,17.2B24,Erisman,JE,ORG4,2018,1,Mix,Mixed,High,Low,Low,High,Present,100.7
Erisman2018,ILLINOIS,Pana,461.2B24,Erisman,JE,ORG2,2018,1,Mix,Mixed,High,Low,Low,High,Present,123.1
Erisman2018,ILLINOIS,Pana,59R5,Erisman,JE,CHECK1,2018,1,Mix,Mixed,High,Low,Low,High,Present,196.2
Erisman2018,ILLINOIS,Pana,F34.A22,Erisman,JE,KEV1,2018,1,Mix,Mixed,High,Low,Low,High,Present,140.6
Erisman2018,ILLINOIS,Pana,H69.A22,Erisman,JE,KEV2,2018,1,Mix,Mixed,High,Low,Low,High,Present,111.2
Erisman2018,ILLINOIS,Pana,NG10.S7,Erisman,JE,ORG5,2018,1,Mix,Mixed,High,Low,Low,High,Present,102.5
