ENV,STATE,CITY,PED,FAR,FC,HYB,YEAR,REP,pH,Su,P,Ca,Mg,K,Na,SOC,TN,InorgN,Bray1P,POMC,POMN,PMN,Sand,Silt,Clay,FDA
Ambriole2018,INDIANA,Tri-Lakes,17.461,Ambriole,AA,ORG1,2018,1,5.9,14,66,1729,242,217,20,19.27,1.86,18.6,49,2.847457627,0.189830508,34.752,43,29,28,19.7
Ambriole2018,INDIANA,Tri-Lakes,17.2B24,Ambriole,AA,ORG4,2018,1,5.9,14,66,1729,242,217,20,19.27,1.86,18.6,49,2.847457627,0.189830508,34.752,43,29,28,19.7
Ambriole2018,INDIANA,Tri-Lakes,461.2B24,Ambriole,AA,ORG2,2018,1,6.5,12,34,2065,280,125,23,19.27,1.86,18.6,49,2.847457627,0.189830508,34.752,43,29,28,19.7
Ambriole2018,INDIANA,Tri-Lakes,59R5,Ambriole,AA,CHECK1,2018,1,6.5,12,34,2065,280,125,23,19.27,1.86,18.6,49,2.847457627,0.189830508,34.752,43,29,28,19.7
Ambriole2018,INDIANA,Tri-Lakes,F34.A22,Ambriole,AA,KEV1,2018,1,6.3,13,40,1519,226,188,20,19.27,1.86,18.6,49,2.847457627,0.189830508,34.752,43,29,28,19.7
Ambriole2018,INDIANA,Tri-Lakes,H69.A22,Ambriole,AA,KEV2,2018,1,6.3,13,40,1519,226,188,20,19.27,1.86,18.6,49,2.847457627,0.189830508,34.752,43,29,28,19.7
Ambriole2018,INDIANA,Tri-Lakes,NG10.S7,Ambriole,AA,ORG5,2018,1,6.1,13,58,1715,254,189,18,19.27,1.86,18.6,49,2.847457627,0.189830508,34.752,43,29,28,19.7
Ambriole2018,INDIANA,Tri-Lakes,P31.A22,Ambriole,AA,KEV3,2018,1,6.1,13,58,1715,254,189,18,19.27,1.86,18.6,49,2.847457627,0.189830508,34.752,43,29,28,19.7
Ambriole2018,INDIANA,Tri-Lakes,17.461,Ambriole,AA,ORG1,2018,2,5.9,15,62,1621,256,199,20,19.27,1.86,18.6,49,2.847457627,0.189830508,34.752,43,29,28,19.7
Ambriole2018,INDIANA,Tri-Lakes,17.2B24,Ambriole,AA,ORG4,2018,2,5.9,15,62,1621,256,199,20,19.27,1.86,18.6,49,2.847457627,0.189830508,34.752,43,29,28,19.7
Ambriole2018,INDIANA,Tri-Lakes,461.2B24,Ambriole,AA,ORG2,2018,2,6.6,12,46,1654,246,169,20,19.27,1.86,18.6,49,2.847457627,0.189830508,34.752,43,29,28,19.7
Ambriole2018,INDIANA,Tri-Lakes,59R5,Ambriole,AA,CHECK1,2018,2,6.6,12,46,1654,246,169,20,19.27,1.86,18.6,49,2.847457627,0.189830508,34.752,43,29,28,19.7
Ambriole2018,INDIANA,Tri-Lakes,F34.A22,Ambriole,AA,KEV1,2018,2,6.4,12,39,1885,292,177,19,19.27,1.86,18.6,49,2.847457627,0.189830508,34.752,43,29,28,19.7
Ambriole2018,INDIANA,Tri-Lakes,H69.A22,Ambriole,AA,KEV2,2018,2,6.4,12,39,1885,292,177,19,19.27,1.86,18.6,49,2.847457627,0.189830508,34.752,43,29,28,19.7
Ambriole2018,INDIANA,Tri-Lakes,NG10.S7,Ambriole,AA,ORG5,2018,2,6.2,12,43,1793,268,212,18,19.27,1.86,18.6,49,2.847457627,0.189830508,34.752,43,29,28,19.7
Ambriole2018,INDIANA,Tri-Lakes,P31.A22,Ambriole,AA,KEV3,2018,2,6.2,12,43,1793,268,212,18,19.27,1.86,18.6,49,2.847457627,0.189830508,34.752,43,29,28,19.7
Buxton2018,ILLINOIS,Sullivan,17.461,Buxton,SB,ORG1,2018,1,6.8,17,151,1894,224,344,21,17.538,1.533,35.6,154,4.30625,0.299702381,18.808,13,58,29,29.8
Buxton2018,ILLINOIS,Sullivan,17.2B24,Buxton,SB,ORG4,2018,1,6.8,17,151,1894,224,344,21,17.538,1.533,35.6,154,4.30625,0.299702381,18.808,13,58,29,29.8
Buxton2018,ILLINOIS,Sullivan,461.2B24,Buxton,SB,ORG2,2018,1,6.5,17,127,2168,315,313,20,17.538,1.533,35.6,154,4.30625,0.299702381,18.808,13,58,29,29.8
Buxton2018,ILLINOIS,Sullivan,59R5,Buxton,SB,CHECK1,2018,1,6.5,17,127,2168,315,313,20,17.538,1.533,35.6,154,4.30625,0.299702381,18.808,13,58,29,29.8
Buxton2018,ILLINOIS,Sullivan,F34.A22,Buxton,SB,KEV1,2018,1,6.7,19,170,2136,244,362,24,17.538,1.533,35.6,154,4.30625,0.299702381,18.808,13,58,29,29.8
Buxton2018,ILLINOIS,Sullivan,H69.A22,Buxton,SB,KEV2,2018,1,6.7,19,170,2136,244,362,24,17.538,1.533,35.6,154,4.30625,0.299702381,18.808,13,58,29,29.8
Buxton2018,ILLINOIS,Sullivan,NG10.S7,Buxton,SB,ORG5,2018,1,6.6,18,140,1920,235,294,24,17.538,1.533,35.6,154,4.30625,0.299702381,18.808,13,58,29,29.8
Buxton2018,ILLINOIS,Sullivan,P31.A22,Buxton,SB,KEV3,2018,1,6.6,18,140,1920,235,294,24,17.538,1.533,35.6,154,4.30625,0.299702381,18.808,13,58,29,29.8
Buxton2018,ILLINOIS,Sullivan,17.461,Buxton,SB,ORG1,2018,2,6.4,18,117,2035,281,306,21,17.538,1.533,35.6,154,4.30625,0.299702381,18.808,13,58,29,29.8
Buxton2018,ILLINOIS,Sullivan,17.2B24,Buxton,SB,ORG4,2018,2,6.4,18,117,2035,281,306,21,17.538,1.533,35.6,154,4.30625,0.299702381,18.808,13,58,29,29.8
Buxton2018,ILLINOIS,Sullivan,461.2B24,Buxton,SB,ORG2,2018,2,6.9,19,174,2145,246,360,17,17.538,1.533,35.6,154,4.30625,0.299702381,18.808,13,58,29,29.8
Buxton2018,ILLINOIS,Sullivan,59R5,Buxton,SB,CHECK1,2018,2,6.9,19,174,2145,246,360,17,17.538,1.533,35.6,154,4.30625,0.299702381,18.808,13,58,29,29.8
Buxton2018,ILLINOIS,Sullivan,F34.A22,Buxton,SB,KEV1,2018,2,6.6,17,138,1875,219,280,23,17.538,1.533,35.6,154,4.30625,0.299702381,18.808,13,58,29,29.8
Buxton2018,ILLINOIS,Sullivan,H69.A22,Buxton,SB,KEV2,2018,2,6.6,17,138,1875,219,280,23,17.538,1.533,35.6,154,4.30625,0.299702381,18.808,13,58,29,29.8
Buxton2018,ILLINOIS,Sullivan,NG10.S7,Buxton,SB,ORG5,2018,2,7,20,181,1961,256,360,19,17.538,1.533,35.6,154,4.30625,0.299702381,18.808,13,58,29,29.8
Buxton2018,ILLINOIS,Sullivan,P31.A22,Buxton,SB,KEV3,2018,2,7,20,181,1961,256,360,19,17.538,1.533,35.6,154,4.30625,0.299702381,18.808,13,58,29,29.8
Erisman2018,ILLINOIS,Pana,17.461,Erisman,JE,ORG1,2018,1,6.4,11,16,2292,224,97,20,15.275,1.435,30.2,14,2.378664008,0.18115653,36.432,4,66,30,34.4
