"","pH","Su","P","Ca","Mg","K","Na","SOC","TN","InorgN","Bray1P","POMC","POMN","PMN","Sand","Silt","Clay","FDA"
"1",5.9,14,66,1729,242,217,20,19.27,1.86,18.6,49,2.847457627,0.189830508,34.752,43,29,28,19.7
"2",5.9,14,66,1729,242,217,20,19.27,1.86,18.6,49,2.847457627,0.189830508,34.752,43,29,28,19.7
"3",6.5,12,34,2065,280,125,23,19.27,1.86,18.6,49,2.847457627,0.189830508,34.752,43,29,28,19.7
"4",6.5,12,34,2065,280,125,23,19.27,1.86,18.6,49,2.847457627,0.189830508,34.752,43,29,28,19.7
"5",6.3,13,40,1519,226,188,20,19.27,1.86,18.6,49,2.847457627,0.189830508,34.752,43,29,28,19.7
"6",6.3,13,40,1519,226,188,20,19.27,1.86,18.6,49,2.847457627,0.189830508,34.752,43,29,28,19.7
"7",6.1,13,58,1715,254,189,18,19.27,1.86,18.6,49,2.847457627,0.189830508,34.752,43,29,28,19.7
"8",6.1,13,58,1715,254,189,18,19.27,1.86,18.6,49,2.847457627,0.189830508,34.752,43,29,28,19.7
"9",5.9,15,62,1621,256,199,20,19.27,1.86,18.6,49,2.847457627,0.189830508,34.752,43,29,28,19.7
"10",5.9,15,62,1621,256,199,20,19.27,1.86,18.6,49,2.847457627,0.189830508,34.752,43,29,28,19.7
"11",6.6,12,46,1654,246,169,20,19.27,1.86,18.6,49,2.847457627,0.189830508,34.752,43,29,28,19.7
"12",6.6,12,46,1654,246,169,20,19.27,1.86,18.6,49,2.847457627,0.189830508,34.752,43,29,28,19.7
"13",6.4,12,39,1885,292,177,19,19.27,1.86,18.6,49,2.847457627,0.189830508,34.752,43,29,28,19.7
"14",6.4,12,39,1885,292,177,19,19.27,1.86,18.6,49,2.847457627,0.189830508,34.752,43,29,28,19.7
"15",6.2,12,43,1793,268,212,18,19.27,1.86,18.6,49,2.847457627,0.189830508,34.752,43,29,28,19.7
"16",6.2,12,43,1793,268,212,18,19.27,1.86,18.6,49,2.847457627,0.189830508,34.752,43,29,28,19.7
"17",6.8,17,151,1894,224,344,21,17.538,1.533,35.6,154,4.30625,0.299702381,18.808,13,58,29,29.8
"18",6.8,17,151,1894,224,344,21,17.538,1.533,35.6,154,4.30625,0.299702381,18.808,13,58,29,29.8
"19",6.5,17,127,2168,315,313,20,17.538,1.533,35.6,154,4.30625,0.299702381,18.808,13,58,29,29.8
"20",6.5,17,127,2168,315,313,20,17.538,1.533,35.6,154,4.30625,0.299702381,18.808,13,58,29,29.8
"21",6.7,19,170,2136,244,362,24,17.538,1.533,35.6,154,4.30625,0.299702381,18.808,13,58,29,29.8
"22",6.7,19,170,2136,244,362,24,17.538,1.533,35.6,154,4.30625,0.299702381,18.808,13,58,29,29.8
"23",6.6,18,140,1920,235,294,24,17.538,1.533,35.6,154,4.30625,0.299702381,18.808,13,58,29,29.8
"24",6.6,18,140,1920,235,294,24,17.538,1.533,35.6,154,4.30625,0.299702381,18.808,13,58,29,29.8
"25",6.4,18,117,2035,281,306,21,17.538,1.533,35.6,154,4.30625,0.299702381,18.808,13,58,29,29.8
"26",6.4,18,117,2035,281,306,21,17.538,1.533,35.6,154,4.30625,0.299702381,18.808,13,58,29,29.8
